                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                   19150                                     2379                  4.0000000000000000E+000                  2.0000000000000000E-002                  1.9658282190019220E+008                  1.3459528219165055E+001                  3.2542253146997209E+003                  1.6155300789215549E+004                  3.9986689169717977E+002                  5.8211430637603428E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6643737130922168E-007                  3.6047211138454474E-004                  0.0000000000000000E+000                  9.1430474640304515E-001                  6.2152750839792971E-002                  4.0000000000000000E+000                  0.0000000000000000E+000                  2.2089249932909931E+000                  2.5499975545544950E-004                  9.4757347800602965E-001                  2.8755087059768803E-002                  9.2791008907646948E-003                  7.2627383880538177E-001                  4.9251993488626321E-002                  7.8237605437141577E-001                  7.7681287522647979E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0012918625848345E+007                  5.8327101571189871E+001                  2.4759675181474769E+006                  1.5897317239292019E+004                  1.4411965887248483E+004                  3.7644396959495663E+002                  1.1573171225091282E+003                  5.0000000000000000E+001                  1.0000000000000000E+003                  6.2036820603975050E+015                               "r22.11.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20230126"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                tri_alpha 
                                       1                  4.0000000000000000E+000                  2.6019154467730017E+000                  3.5124476191659419E+000                 -8.6208361317961444E+000                  2.6940982074756152E+000                  6.9999999999999640E-001                  2.8000000000000363E-001                  2.0000000000000018E-002                  3.5110134848357777E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  3.9999999999970002E+000                  2.6019154467690027E+000                  3.5124476192978404E+000                 -8.6208361308773451E+000                  2.6940982085305021E+000                  6.9999999999999629E-001                  2.8000000000000363E-001                  2.0000000000000018E-002                  3.5110134922640716E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  3.9999999999828750E+000                  2.6019154467501711E+000                  3.5124476199505921E+000                 -8.6208361263303015E+000                  2.6940982137510185E+000                  6.9999999999999640E-001                  2.8000000000000369E-001                  1.9999999999999907E-002                  3.5110135290259602E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  3.9999999999122497E+000                  2.6019154466560113E+000                  3.5124476226607637E+000                 -8.6208361074513427E+000                  2.6940982354261820E+000                  6.9999999999999629E-001                  2.8000000000000369E-001                  2.0000000000000018E-002                  3.5110136816583807E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  3.9999999996310001E+000                  2.6019154462810419E+000                  3.5124476319032638E+000                 -8.6208360430684010E+000                  2.6940983093450224E+000                  6.9999999999999629E-001                  2.8000000000000397E-001                  1.9999999999999796E-002                  3.5110142021809864E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  3.9999999987122505E+000                  2.6019154450561395E+000                  3.5124476531802769E+000                 -8.6208358948535473E+000                  2.6940984795123173E+000                  6.9999999999999662E-001                  2.8000000000000363E-001                  1.9999999999999796E-002                  3.5110154004673299E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  3.9999999968685001E+000                  2.6019154425980022E+000                  3.5124476823038049E+000                 -8.6208356919803997E+000                  2.6940987124335081E+000                  6.9999999999999629E-001                  2.8000000000000386E-001                  1.9999999999999796E-002                  3.5110170406553095E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  3.9999999949310001E+000                  2.6019154400148774E+000                  3.5124477261094649E+000                 -8.6208353868326100E+000                  2.6940990627775476E+000                  6.9999999999999629E-001                  2.8000000000000397E-001                  1.9999999999999796E-002                  3.5110195077143261E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  3.9999999911810002E+000                  2.6019154350152842E+000                  3.5124478187753732E+000                 -8.6208347413286610E+000                  2.6940998038890451E+000                  6.9999999999999629E-001                  2.8000000000000386E-001                  1.9999999999999796E-002                  3.5110247264907385E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
