                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.11.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20230129"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      537                  1.0000000000000001E-005                 -4.9999999999999991E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.6601796472988486E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.6601796472988486E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4207169575258341E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4207169575258341E+001                 -1.4207169575258341E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6410279373755614E+000                  3.2433228433175847E+000                  1.8622587077721671E+000                  1.6166401987507424E+000                  0.0000000000000000E+000                  1.0374150608707806E+001                 -3.6881808167077796E+000                  5.9148245297949265E+000                  6.2166642215052703E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861470E-003                  9.3805276451495445E-003                  3.4468833607861531E-003                  9.3805276451495428E-003                  5.5999999999999988E+000                  2.2397616189179899E+000                                        0                                        2 
                                       5                                      543                  7.4416000000000014E-005                 -4.6832750158095005E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999857253336388E-001                  2.2456585750177751E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999857253336388E-001                  2.2456585750177751E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4207169519232616E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4207169519232616E+001                 -1.4207169519232616E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6413663141330410E+000                  3.2446780420418921E+000                  1.8622595536193616E+000                  1.6166385070563534E+000                  0.0000000000000000E+000                  1.0374150624459915E+001                 -3.6881808045879603E+000                  5.9148245334759837E+000                  6.2166642214428514E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861470E-003                  9.3805276451495445E-003                  3.4468833607861522E-003                  9.3805276451495428E-003                  5.5999999999999988E+000                  2.2397616189179899E+000                                        0                                        2 
                                      10                                      543                  2.5958682111999997E-004                 -4.2873687855713758E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.2457975414690527E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.2457975414690527E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4207169344911920E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4207169344911920E+001                 -1.4207169344911920E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6413392101119020E+000                  3.2445687399850613E+000                  1.8622591106332247E+000                  1.6166393930286274E+000                  0.0000000000000000E+000                  1.0374150672362838E+001                 -3.6881807681098389E+000                  5.9148245449837873E+000                  6.2166642212449374E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861470E-003                  9.3805276451495445E-003                  3.4468833607861518E-003                  9.3805276451495428E-003                  5.5999999999999988E+000                  2.2397616189179899E+000                                        0                                        2 
                                      15                                      543                  7.2035107872931814E-004                 -3.8914625553332525E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.2461469403220628E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.2461469403220628E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4207168911676494E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4207168911676494E+001                 -1.4207168911676494E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6413027446041486E+000                  3.2444216931061045E+000                  1.8622585182092515E+000                  1.6166405778765736E+000                  0.0000000000000000E+000                  1.0374150791485395E+001                 -3.6881806773876384E+000                  5.9148245735923224E+000                  6.2166642207529954E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861470E-003                  9.3805276451495445E-003                  3.4468833607861514E-003                  9.3805276451495428E-003                  5.5999999999999988E+000                  2.2397616189179899E+000                                        0                                        2 
                                      20                                      543                  1.8668799962237366E-003                 -3.4955563250951283E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.2470483061727359E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.2470483061727359E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4207167834901687E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4207167834901687E+001                 -1.4207167834901687E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6412779197590237E+000                  3.2443209597241420E+000                  1.8622578012085207E+000                  1.6166420118780354E+000                  0.0000000000000000E+000                  1.0374151087775754E+001                 -3.6881804517197274E+000                  5.9148246447354955E+000                  6.2166642195297661E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861470E-003                  9.3805276451495445E-003                  3.4468833607861514E-003                  9.3805276451495428E-003                  5.5999999999999988E+000                  2.2397616189179899E+000                                        0                                        2 
                                      25                                      543                  4.7198108322034473E-003                 -3.0996500948570040E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.2495697537785707E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.2495697537785707E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4207165156768486E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4207165156768486E+001                 -1.4207165156768486E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6412614495888893E+000                  3.2442532626304112E+000                  1.8622568930019241E+000                  1.6166438282912285E+000                  0.0000000000000000E+000                  1.0374151825062462E+001                 -3.6881798901723868E+000                  5.9148248217701189E+000                  6.2166642164858232E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861470E-003                  9.3805276451495445E-003                  3.4468833607861509E-003                  9.3805276451495428E-003                  5.5999999999999988E+000                  2.2397616189179899E+000                                        0                                        2 
                                      30                                      543                  1.1818815689988481E-002                 -2.7037438646188803E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.2580199607595594E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.2580199607595594E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4207158489562822E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4207158489562822E+001                 -1.4207158489562822E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6412523895279354E+000                  3.2442146383078780E+000                  1.8622557009625653E+000                  1.6166462123699461E+000                  0.0000000000000000E+000                  1.0374153659455802E+001                 -3.6881784929956414E+000                  5.9148252622142854E+000                  6.2166642089130153E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861470E-003                  9.3805276451495445E-003                  3.4468833607861501E-003                  9.3805276451495428E-003                  5.5999999999999988E+000                  2.2397616189179899E+000                                        0                                        2 
                                      35                                      543                  2.9483411457712130E-002                 -2.3078376343807561E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.2931115847842094E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.2931115847842094E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4207141870899159E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4207141870899159E+001                 -1.4207141870899159E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6412486885213804E+000                  3.2441963159889822E+000                  1.8622539418162272E+000                  1.6166497306626224E+000                  0.0000000000000000E+000                  1.0374158221382034E+001                 -3.6881750180188524E+000                  5.9148263572520721E+000                  6.2166641900880004E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861470E-003                  9.3805276451495445E-003                  3.4468833607861496E-003                  9.3805276451495428E-003                  5.5999999999999988E+000                  2.2397616189179899E+000                                        0                                        2 
                                      40                                      543                  7.3438578398454232E-002                 -1.9119314041426323E+000                  8.0000000000000000E+000                  3.4201595897352611E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.4159408994449693E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999848779660694E-001                  2.4159408994449693E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4207100432405404E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -1.4207100432405404E+001                 -1.4207100432405404E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6412479112548781E+000                  3.2441866840262441E+000                  1.8622506803678636E+000                  1.6166562535593496E+000                  0.0000000000000000E+000                  1.0374169563407101E+001                 -3.6881663771158122E+000                  5.9148290787061137E+000                  6.2166641433124037E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4468833607861470E-003                  9.3805276451495445E-003                  3.4468833607861492E-003                  9.3805276451495428E-003                  5.5999999999999988E+000                  2.2397616189179899E+000                                        0                                        2 
