                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                    1000                                     1900                  8.0000000000000000E+000                  2.0000000000000000E-002                  3.6532789288299397E+007                  5.7252837708708725E+001                  3.3018636296481254E+003                  3.8850356112279413E+004                  6.0232709227521048E+002                  4.5353372786393649E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4919310062950083E-017                  2.1066431728218204E-012                  1.5246096765370579E-032                  8.9726258067868248E-001                  7.1972303678046218E-002                  8.0000000000000000E+000                  0.0000000000000000E+000                  4.2825996563753010E+000                  1.8787926789263958E-004                  2.4111180057240711E+000                  6.9053861827471086E-002                  2.6299438879239054E-002                  8.7672960746734585E-001                  1.7758636931042390E-001                  0.0000000000000000E+000                  1.1123548259140197E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.2307102059302837E+007                  6.4407060743615119E+001                  2.0591831840304404E+006                  2.5940181256002292E+004                  1.0459890524165659E-008                  2.5677959796624093E-002                  4.6610167714346477E+004                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.1528871512444370E+015                               "r22.11.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20230129"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                tri_alpha 
                                       1                  8.0000000000000000E+000                  2.7798323978891726E+000                  3.5187591325174399E+000                 -8.6783210611065247E+000                  2.6370018570394560E+000                  6.8472114248462335E-001                  2.9514784819536127E-001                  2.0131009320015325E-002                  2.9429044454280131E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  7.9999999999919993E+000                  2.7798323978856097E+000                  3.5187591326439240E+000                 -8.6783210602239862E+000                  2.6370018580509824E+000                  6.8472114248462324E-001                  2.9514784819536133E-001                  2.0131009320015436E-002                  2.9429044514085998E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  7.9999999999629363E+000                  2.7798323978726693E+000                  3.5187591330638734E+000                 -8.6783210572938216E+000                  2.6370018614094088E+000                  6.8472114248462346E-001                  2.9514784819536122E-001                  2.0131009320015325E-002                  2.9429044712651210E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  7.9999999998689439E+000                  2.7798323978308161E+000                  3.5187591346094482E+000                 -8.6783210465096712E+000                  2.6370018737697323E+000                  6.8472114248462335E-001                  2.9514784819536127E-001                  2.0131009320015325E-002                  2.9429045443448453E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  7.9999999995100417E+000                  2.7798323976710013E+000                  3.5187591412688946E+000                 -8.6783210000438107E+000                  2.6370019270268754E+000                  6.8472114248462346E-001                  2.9514784819536133E-001                  2.0131009320015214E-002                  2.9429048592247987E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  7.9999999979175476E+000                  2.7798323969618877E+000                  3.5187591587188418E+000                 -8.6783208782879697E+000                  2.6370020665781180E+000                  6.8472114248462335E-001                  2.9514784819536127E-001                  2.0131009320015325E-002                  2.9429056843140102E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  7.9999999943967408E+000                  2.7798323953941253E+000                  3.5187591996089340E+000                 -8.6783205929804410E+000                  2.6370023935852345E+000                  6.8472114248462335E-001                  2.9514784819536122E-001                  2.0131009320015436E-002                  2.9429076177265946E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  7.9999999859356663E+000                  2.7798323916265399E+000                  3.5187592509018724E+000                 -8.6783202343867742E+000                  2.6370028037853945E+000                  6.8472114084269808E-001                  2.9514784982320830E-001                  2.0131009334093619E-002                  2.9429100336571885E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  7.9999999793665655E+000                  2.7798323887014216E+000                  3.5187593248424278E+000                 -8.6783197184744942E+000                  2.6370033951020182E+000                  6.8472114084267799E-001                  2.9514784982322823E-001                  2.0131009334093841E-002                  2.9429135297898959E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  7.9999999642691639E+000                  2.7798323819787920E+000                  3.5187594451796249E+000                 -8.6783188788383381E+000                  2.6370043574576774E+000                  6.8472114084266111E-001                  2.9514784982324488E-001                  2.0131009334094063E-002                  2.9429192196798126E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      11                  7.9999999441047205E+000                  2.7798323729999082E+000                  3.5187596191683865E+000                 -8.6783011114781115E+000                  2.6370057488771650E+000                  6.8468241802042829E-001                  2.9518624063356413E-001                  2.0131341346007581E-002                  2.9427067576189124E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      12                  7.9999999132857793E+000                  2.7798323592773202E+000                  3.5187599334661654E+000                 -8.6782919897577511E+000                  2.6370082623899056E+000                  6.8466621022705465E-001                  2.9520230946029785E-001                  2.0131480312647554E-002                  2.9426292462849022E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      13                  7.9999998520060061E+000                  2.7798323319921621E+000                  3.5187605592340767E+000                 -8.6782469966807110E+000                  2.6370132668305191E+000                  6.8457117981502136E-001                  2.9529652507936821E-001                  2.0132295105610432E-002                  2.9421172347253646E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      14                  7.9999997299143510E+000                  2.7798322776357969E+000                  3.5187614327961327E+000                 -8.6782067926328228E+000                  2.6370202531114222E+000                  6.8449140198295177E-001                  2.9537561889475500E-001                  2.0132979122293282E-002                  2.9417038603058297E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      15                  7.9999995960130841E+000                  2.7798322180271753E+000                  3.5187626106827268E+000                 -8.6781804182464821E+000                  2.6370296731611633E+000                  6.8444893956469699E-001                  2.9541771723949034E-001                  2.0133343195812614E-002                  2.9415175298671848E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      16                  7.9999993847363697E+000                  2.7798321239791055E+000                  3.5187650121920226E+000                 -8.6781183714718768E+000                  2.6370488784539909E+000                  6.8434302010696146E-001                  2.9552272854520018E-001                  2.0134251347838417E-002                  2.9410273511563227E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      17                  7.9999988922527754E+000                  2.7798319047852167E+000                  3.5187708135328455E+000                 -8.6780427636970892E+000                  2.6370952686988112E+000                  6.8426086068958492E-001                  2.9560418353535289E-001                  2.0134955775062191E-002                  2.9408331693008677E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      18                  7.9999976846834207E+000                  2.7798313674141415E+000                  3.5187836594802797E+000                 -8.6779111980139128E+000                  2.6371979617357226E+000                  6.8416271562174147E-001                  2.9570148713307826E-001                  2.0135797245180331E-002                  2.9408804197779835E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      19                  7.9999951282560291E+000                  2.7798302301362088E+000                  3.5188108062805226E+000                 -8.6777103969961669E+000                  2.6374148340529087E+000                  6.8413556277227572E-001                  2.9572840718877147E-001                  2.0136030038952812E-002                  2.9420070047922370E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      20                  7.9999897328415051E+000                  2.7798278309582156E+000                  3.5188646005613005E+000                 -8.6773322452833579E+000                  2.6378439667581408E+000                  6.8412649312493479E-001                  2.9573739908844054E-001                  2.0136107786624668E-002                  2.9444918438305958E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      21                  7.9999793823032697E+000                  2.7798232322809486E+000                  3.5189557806630671E+000                 -8.6766982139826894E+000                  2.6385693642236299E+000                  6.8412269724195440E-001                  2.9574116243418397E-001                  2.0136140323861573E-002                  2.9487611461966716E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      22                  7.9999630818832737E+000                  2.7798160003793697E+000                  3.5191185314931448E+000                 -8.6755751840053765E+000                  2.6398583633313981E+000                  6.8412264974486392E-001                  2.9574120954215755E-001                  2.0136140712978534E-002                  2.9563960597053654E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      23                  7.9999319178288708E+000                  2.7798022087311369E+000                  3.5193473906137718E+000                 -8.6740101128199694E+000                  2.6416568462954486E+000                  6.8412259084870841E-001                  2.9574126804227702E-001                  2.0136141109014627E-002                  2.9670692345737004E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      24                  7.9998966291567015E+000                  2.7797866463339704E+000                  3.5197409931428636E+000                 -8.6713499651555086E+000                  2.6447184894976141E+000                  6.8412254023899988E-001                  2.9574131830165662E-001                  2.0136141459343504E-002                  2.9852993180733265E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      25                  7.9998181730758082E+000                  2.7797522523429303E+000                  3.5203474684968437E+000                 -8.6673430660414592E+000                  2.6493441762563332E+000                  6.8412247886579580E-001                  2.9574136405607654E-001                  2.0136157078127659E-002                  3.0129705122147595E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      26                  7.9997233028366672E+000                  2.7797110338149245E+000                  3.5212359155396968E+000                 -8.6616455576704290E+000                  2.6559480335271570E+000                  6.8412175037704348E-001                  2.9574139438182839E-001                  2.0136855241128071E-002                  3.0527533726097411E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      27                  7.9995675949513867E+000                  2.7796442397925967E+000                  3.5224590646331917E+000                 -8.6541523578695241E+000                  2.6646878954820346E+000                  6.8411775361110605E-001                  2.9574197175809652E-001                  2.0140274630797483E-002                  3.1058478951321654E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      28                  7.9993859640099085E+000                  2.7795676203930446E+000                  3.5242869180500196E+000                 -8.6398924892816549E+000                  2.6771489318540533E+000                  6.7556118964220746E-001                  3.0430486136519991E-001                  2.0133948992592687E-002                  3.1297400150416596E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
