                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.11.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20230130"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                             fe_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                tri_alpha                        v_div_csound_surf                              num_retries                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index 
                                       1                  1.7888543819998320E+003                  1.0000000000000000E+000                 -9.8999999999999986E+001                  3.2525749891599527E+000                                     3832                  8.4531384418069011E-002                  8.4454782405631867E-002                  3.9064931751463014E-008                  9.9999999996481204E-001                  9.7177887088860504E-001                  8.4454782405631867E-002                  3.9064931751463014E-008                  9.9999999996481204E-001                  9.7177887088860504E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4825984795296682E-001                 -4.6889303861100956E+001                 -9.8999999999999986E+001                 -1.4825984795296682E-001                  3.7497704948630335E+000                  7.1018479613374330E-001                 -1.4862862945188779E-001                 -5.1202143587513557E-002                  4.5404719144781600E+000                  3.4711382755223865E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1366907867891198E+000                  1.8873886569430476E+000                  1.7152745658031542E+001                  6.2135673162150162E-001                  8.4976435518245097E-001                  6.9950351708838876E-001                  2.8034614959343435E-001                  2.9983448400670580E-003                  9.3805041819512297E-003                  3.4468833607860672E-003                  9.3805276451495254E-003                  6.9990185343673439E-001                  2.8001872199355243E-001                 -2.1186960976154109E-001                 -1.0139371433697046E+000                 -4.6889303861100956E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+000                  1.7888543819998320E+003                  3.6499999999999443E+002                  3.9055612262683735E+002                  9.0225119282192843E+000                  4.5112559641096418E+001                  2.0338252243377607E+002                  9.8321535717037150E+001                 -9.8673051109160614E-001                 -9.9096040021626719E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.4372991298490902E+053                 -8.2874254393247233E+027                  0.0000000000000000E+000                 -8.2874254393247233E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  4.6436302246991836E+004                  1.0000000000000000E+000                 -9.8999999999999986E+001                  3.9652062035885760E+000                                      827                  8.4619125582723553E-002                  8.4454782405604223E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7176372865090554E-001                  8.4454782405604223E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7176372865090554E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4898265501112079E-001                 -4.6889908558831905E+001                 -9.8999999999999986E+001                 -1.4898265501112093E-001                  3.7495681955388802E+000                  7.0843669003013621E-001                 -1.4969895473068853E-001                 -5.1332707578607153E-002                  4.5407330424603476E+000                  3.4732259923248865E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1367477220122222E+000                  1.8874993005325724E+000                  1.7152913103879410E+001                  6.2135786897163270E-001                  8.4976316854521516E-001                  6.9950122959074090E-001                  2.8034815323069462E-001                  2.9950975412226123E-003                  9.3805039884074896E-003                  3.4468833607860733E-003                  9.3805276451495393E-003                  6.9990146249887897E-001                  2.8001894557782475E-001                 -2.1259877268612068E-001                 -1.0146196584143343E+000                 -4.6889908558831905E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+001                  4.6436302246991843E+004                  3.6499999999994208E+002                  3.9055612262679995E+002                  9.0225119282197142E+000                  4.5112559641098564E+001                  2.0338252243375655E+002                  9.8321535717027714E+001                 -9.8690900146058969E-001                 -9.9096311742516741E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.4372991298489736E+053                 -8.2874254393270323E+027                  0.0000000000000000E+000                 -8.2874254393270323E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      20                  3.3395764619126602E+005                  1.0000000000000000E+000                 -9.8999999999999986E+001                  4.7570186640648240E+000                                      825                  8.2366798724409121E-002                  8.2250202774511449E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7165170761924424E-001                  8.2250202774511449E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7165170761924424E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5271391408521071E-001                 -4.6895739058539561E+001                 -9.8999999999999986E+001                 -1.5271391408521082E-001                  3.7493381907457581E+000                  7.0459169690997991E-001                 -1.5206247896264646E-001                 -5.2054460108341499E-002                  4.5421765475198157E+000                  3.4847894840520057E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1366370862781503E+000                  1.8874523448359983E+000                  1.7152750403907213E+001                  6.2136528893424303E-001                  8.4975549645772441E-001                  6.9948632047782922E-001                  2.8036086775937963E-001                  2.9740979756509192E-003                  9.3805027311449473E-003                  3.4468833607860733E-003                  9.3805276451495393E-003                  6.9989893996786268E-001                  2.8002036708685496E-001                 -2.1613169278187275E-001                 -1.0196103000340320E+000                 -4.6895739058539561E+001                  0.0000000000000000E+000                                        0                  2.0000000000000000E+001                  3.3395764619126602E+005                  3.6499999999960448E+002                  3.9055612262655916E+002                  9.0225119282224959E+000                  4.5112559641112483E+001                  2.0338252243363118E+002                  9.8321535716967091E+001                 -9.8695543612375669E-001                 -9.9097812331715607E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.4372991298482220E+053                 -8.2874254393419449E+027                  0.0000000000000000E+000                 -8.2874254393419449E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      30                  2.1142140237084259E+006                  1.0000000000000000E+000                 -9.8999999999999986E+001                  5.5488311245410724E+000                                      814                  7.2196304783096951E-002                  7.0695938927432866E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7108621367527770E-001                  7.0695938927432866E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7108621367527770E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5829749672423704E-001                 -4.6930368910159764E+001                 -1.5477468515471340E+001                 -1.5829749672423685E-001                  3.7483946265409638E+000                  6.9072530610654470E-001                 -1.6069463245323848E-001                 -5.4483408444050328E-002                  4.5470344441912331E+000                  3.5239881892459933E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1359364267730996E+000                  1.8885138975094933E+000                  1.7153090274660393E+001                  6.2141301972884400E-001                  8.4970701616308031E-001                  6.9939032969812487E-001                  2.8043777141226106E-001                  2.8421125459074368E-003                  9.3804946027518776E-003                  3.4468833607860733E-003                  9.3805276451495393E-003                  6.9988338507045345E-001                  2.8002902802433166E-001                 -2.1786679306137244E-001                 -1.0505035926292732E+000                 -4.6930368910159764E+001                  0.0000000000000000E+000                                        0                  3.0000000000000000E+001                  2.1142140237084259E+006                  3.6499999999751265E+002                  3.9055612262506691E+002                  9.0225119282397337E+000                  4.5112559641198665E+001                  2.0338252243285410E+002                  9.8321535716591441E+001                 -9.8681410928583324E-001                 -9.9102844057256734E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.4372991298435661E+053                 -8.2874254394342874E+027                  0.0000000000000000E+000                 -8.2874254394342874E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      40                  1.3137092277591309E+007                  1.0000000000000000E+000                 -9.8999999999999986E+001                  6.3406435850173199E+000                                      807                  4.6436958534146207E-002                  4.6225583121806135E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7064473359327974E-001                  4.6225583121806135E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7064473359327974E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5820378827788337E-001                 -4.7027847130140636E+001                 -1.5477468515471340E+001                 -1.5820378827788317E-001                  3.7483020963542453E+000                  6.9549168028037534E-001                 -1.5770806082640657E-001                 -5.2805062257196590E-002                  4.5436777518175262E+000                  3.4968560267399684E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1338787667139645E+000                  1.8934662902911634E+000                  1.7155816277183128E+001                  6.2172837396521952E-001                  8.4938828145167689E-001                  6.9875427902058485E-001                  2.8094563123572258E-001                  2.0473850523122557E-003                  9.3804346636532400E-003                  3.4468833607860733E-003                  9.3805276451495393E-003                  6.9979278230595832E-001                  2.8008708561544354E-001                 -1.9891873226910126E-001                 -1.2064326994104819E+000                 -4.7027847130140636E+001                  0.0000000000000000E+000                                        0                  4.0000000000000000E+001                  1.3137092277591307E+007                  3.6499999998456093E+002                  3.9055612261582792E+002                  9.0225119283464519E+000                  4.5112559641732254E+001                  2.0338252242804288E+002                  9.8321535714265536E+001                 -9.8592379829159926E-001                 -9.9099370258789965E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.4372991298147374E+053                 -8.2874254400060995E+027                  0.0000000000000000E+000                 -8.2874254400060995E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      50                  3.3330338415858444E+007                  1.0000000000000000E+000                 -9.8999999999999986E+001                  6.2386352766121149E+000                                      795                  2.1027041724389451E-002                  9.9999999996481237E-001                  9.7132177332194325E-001                  2.0409872087449599E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7132177332194325E-001                  2.0409872087449599E-002                  3.9064904063107934E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5276105752602911E-001                 -4.7031002296087401E+001                 -1.5176438519807359E+001                 -1.5276105752602870E-001                  3.7492418744406861E+000                  7.0735301546915952E-001                 -1.5036379071882003E-001                 -5.1012483376285195E-002                  4.5400925940557038E+000                  3.4681078460411118E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1333673822527484E+000                  1.9043574312793508E+000                  1.7165867101832202E+001                  6.2233834433602742E-001                  8.4876710770137809E-001                  6.9751448709137331E-001                  2.8200439380099951E-001                  9.1509306881560433E-004                  9.3802806437200612E-003                  3.4468833607860742E-003                  9.3805276451495410E-003                  6.9963597358608787E-001                  2.8020397316349072E-001                 -1.7635288993315468E-001                 -1.4295262136071367E+000                 -4.7031002296087401E+001                  0.0000000000000000E+000                                        0                  5.0000000000000000E+001                  3.3330338415858444E+007                  3.6499999996083420E+002                  3.9055612259890256E+002                  9.0225119285419542E+000                  4.5112559642709762E+001                  2.0338252241922899E+002                  9.8321535710004639E+001                 -9.8418764447667451E-001                 -9.9095645168095425E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.4372991297619256E+053                 -8.2874254412916737E+027                  0.0000000000000000E+000                 -8.2874254412916737E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      60                  4.8604937082598358E+007                  1.0000000000000000E+000                 -9.8999999999999986E+001                  6.1368231561907516E+000                                      789                  3.7132665716411812E-003                  9.9999999996481248E-001                  9.7175173845666107E-001                  3.6248704771142393E-003                  3.9064904063107934E-008                  9.9999999996481248E-001                  9.7175173845666107E-001                  3.6248704771142393E-003                  3.9064904063107934E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4852236862721746E-001                 -4.7036156142560088E+001                 -1.5352529778863040E+001                 -1.4852236862721718E-001                  3.7497502032023942E+000                  7.1288689512280345E-001                 -1.4697936877440534E-001                 -5.0336929927493369E-002                  4.5387414871581200E+000                  3.4573351944143695E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1328746803407475E+000                  1.9112219263160926E+000                  1.7171950066000491E+001                  6.2284352503407603E-001                  8.4824814495320922E-001                  6.9647907986197832E-001                  2.8295364198326239E-001                  3.5266083753556599E-004                  9.3800817857024130E-003                  3.4468833607860742E-003                  9.3805276451495410E-003                  6.9951978529222258E-001                  2.8029764346492175E-001                 -1.6528665323957187E-001                 -1.5702768338046678E+000                 -4.7036156142560088E+001                  0.0000000000000000E+000                                        0                  6.0000000000000000E+001                  4.8604937082598366E+007                  3.6499999994288703E+002                  3.9055612258610000E+002                  9.0225119286898323E+000                  4.5112559643449153E+001                  2.0338252241256205E+002                  9.8321535706781617E+001                 -9.8235989597026552E-001                 -9.9094237331995794E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.4372991297219777E+053                 -8.2874254422650230E+027                  0.0000000000000000E+000                 -8.2874254422650230E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      70                  6.0667982349521175E+007                  1.0000000000000000E+000                 -9.8999999999999986E+001                  6.0350519120457715E+000                                      788                  0.0000000000000000E+000                  9.9999999996481248E-001                  9.7195943314760191E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996481248E-001                  9.7195943314760191E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4618477378764688E-001                 -4.7032546046499668E+001                 -9.8999999999999986E+001                 -1.4618477378764722E-001                  3.7499946656197563E+000                  7.1567292572184615E-001                 -1.4528541206090825E-001                 -4.9978876405469115E-002                  4.5380253801140711E+000                  3.4516391008129714E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1324731720487362E+000                  1.9147436046178790E+000                  1.7174807633333192E+001                  6.2326790664594578E-001                  8.4780974637086615E-001                  6.9560366165906473E-001                  2.8379573297088062E-001                  1.2769833062991473E-004                  9.3798445814196069E-003                  3.4468833607860742E-003                  9.3805276451495410E-003                  6.9942866114111601E-001                  2.8037358063067208E-001                 -1.5994562856721903E-001                 -1.6521859334266966E+000                 -4.7032546046499668E+001                  0.0000000000000000E+000                                        0                  7.0000000000000000E+001                  6.0667982349521190E+007                  3.6499999992871329E+002                  3.9055612257598926E+002                  9.0225119288066224E+000                  4.5112559644033098E+001                  2.0338252240729688E+002                  9.8321535704236254E+001                 -9.8023376950175867E-001                 -9.9093490269200935E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.4372991296904293E+053                 -8.2874254430337652E+027                  0.0000000000000000E+000                 -8.2874254430337652E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      80                  7.0201714758728296E+007                  1.0000000000000000E+000                 -9.8999999999999986E+001                  5.9320262928343928E+000                                      788                  0.0000000000000000E+000                  9.9999999996481248E-001                  9.7205805436048742E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996481248E-001                  9.7205805436048742E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4488615248156694E-001                 -4.7025120903294564E+001                 -1.5477468515471340E+001                 -1.4488615248156675E-001                  3.7501240663887567E+000                  7.1729982518754576E-001                 -1.4429927500604262E-001                 -4.9744609416036922E-002                  4.5375568461352067E+000                  3.4479173446602232E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1324470460073384E+000                  1.9164905484175141E+000                  1.7176309519999403E+001                  6.2360342904212918E-001                  8.4746254818181810E-001                  6.9490927756238596E-001                  2.8447863824999919E-001                  5.8449161222504418E-005                  9.3796376500316428E-003                  3.4468833607860733E-003                  9.3805276451495410E-003                  6.9935691954550250E-001                  2.8043441004282821E-001                 -1.5704147155642489E-001                 -1.7039675844735338E+000                 -4.7025120903294564E+001                  0.0000000000000000E+000                                        0                  8.0000000000000000E+001                  7.0201714758728310E+007                  3.6499999991751110E+002                  3.9055612256799822E+002                  9.0225119288989255E+000                  4.5112559644494617E+001                  2.0338252240313554E+002                  9.8321535702224551E+001                 -9.7771463229698352E-001                 -9.9093001148086712E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.4372991296654951E+053                 -8.2874254436414796E+027                  0.0000000000000000E+000                 -8.2874254436414796E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
