                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     950                                     1047                  4.0000000000000000E+000                  2.0000000000000000E-002                  1.0744607874175128E+008                  2.0211968353514351E+001                  1.4301706536958647E+004                  5.3945953748378838E+002                  3.7831788587737369E+000                 -3.9388691540486422E+000                  3.9539844567492721E-001                  4.4047081773502751E-006                  5.8487854311015064E-001                  8.6239090104094405E-005                  1.0821498673440205E-002                  2.6486224900698968E-003                  2.0850244238750401E-003                  4.0163349518260505E+000                  1.6298187418178327E-005                  2.5106302576431792E+000                  2.3395180369352353E-004                  1.4249332557433831E+000                  7.4149970945833433E-003                  1.7582990723375169E-002                  3.0789853809632013E-002                  8.3741564690202903E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6747466712789093E+004                  1.8613369887148964E+005                  7.4451088038215429E+007                  1.2044609918461346E+002                  1.2044609918461346E+002                  3.4258341984355004E-035                  9.0758700387589943E+000                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.3907403745006905E+015                               "r22.11.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20230131"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78 
                                    zone                                     logT                                   logRho                                     logP                                     logR                               luminosity                                     logL                                 velocity                                  entropy                                 mix_type                                   csound                             v_div_csound                                  v_div_r                                      eta                                       mu                                    logdq                                 dq_ratio                                        q                                   radius                              temperature                                      tau                                   logtau                                 pressure                          pgas_div_ptotal                                  logPgas                                    grada                                   free_e                                     abar                                       ye                              log_opacity                                  eps_nuc                              non_nuc_neu                                 eps_grav                        mlt_mixing_length                                log_D_mix                             log_conv_vel                      conv_vel_div_csound                            log_mlt_D_mix                    pressure_scale_height                                    gradT                                    gradr                                     mass                                     mmid                                    logxq                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                       pp                                      cno                                tri_alpha                                  c_alpha                                  n_alpha                                  o_alpha                                 ne_alpha                                 na_alpha                                 mg_alpha                                 si_alpha                                  s_alpha                                 ar_alpha                                 ca_alpha                                 ti_alpha                                 cr_alpha                                 fe_co_ni                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                ni56_co56                                co56_fe56                                    other                          gradr_sub_grada                                     logQ 
                                       1                  4.1566215027039153E+000                 -9.2879660359048763E+000                  2.9985349270310895E+000                  5.7785687408213171E-001                  5.3945953748378838E+002                  2.7319588756982212E+000                  0.0000000000000000E+000                  3.8028214704823831E+001                                        0                  1.5724263638890001E+006                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7468875088548359E+001                  6.9018659954059214E-001                 -1.2221848749616361E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  3.7831788587737369E+000                  1.4342389174044896E+004                  6.6666666666666663E-001                 -1.7609125905568127E-001                  9.9663222852851800E+002                  8.9292678228148059E-001                  2.9493507763398212E+000                  2.1046081875897107E-001                  6.9247502622031676E-001                  1.3124068580814081E+000                  8.4385808518061067E-001                  7.4503141029262721E-001                  7.2925541209969436E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0274429933462244E+008                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6132262421634501E-003                  1.3349015705642189E-001                  1.3349015705642189E-001                  4.0163349518260505E+000                  4.0163349518248461E+000                 -9.8999999999999986E+001                  6.8769777711560043E-001                  5.5179736862928376E-005                  2.9209135238735168E-001                  2.1662396771247880E-003                  2.9086761845100190E-003                  8.9185286454194351E-003                  2.0850244238750358E-003                  4.0772218292556743E-003                  7.2925541209969436E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.6970661702549181E-002                 -5.6012090413127069E+000 
                                       2                  4.1592740899786724E+000                 -9.2702817380910236E+000                  3.0180861087179389E+000                  5.7783924550018073E-001                  5.3945325724586428E+002                  2.7319538197331998E+000                  0.0000000000000000E+000                  3.7986138025193604E+001                                        0                  1.5723791840794752E+006                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7435984363893990E+001                  6.8974659097872970E-001                 -1.2154901959985750E+001                  8.5714285714286143E-001                  9.9999999999940004E-001                  3.7830252977044974E+000                  1.4430257801371894E+004                  6.9726998394620598E-001                 -1.5659902988630456E-001                  1.0425241129216547E+003                  8.9510856631333835E-001                  2.9699618221247204E+000                  2.0741898870455136E-001                  6.9339861629595689E-001                  1.3124068580814081E+000                  8.4385808518061067E-001                  7.4988323528816858E-001                  7.5956395901741854E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0372494206494313E+008                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6284971180554990E-003                  1.3549341824395694E-001                  1.3549341824395694E-001                  4.0163349518236409E+000                  4.0163349518222349E+000                 -1.2221848749616361E+001                  6.8769777711560043E-001                  5.5179736862928376E-005                  2.9209135238735168E-001                  2.1662396771247880E-003                  2.9086761845100190E-003                  8.9185286454194351E-003                  2.0850244238750358E-003                  4.0772218292556743E-003                  7.5956395901741865E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -7.3563478951435779E-002                 -5.5888299180483685E+000 
                                       3                  4.1616887324231548E+000                 -9.2547745308255198E+000                  3.0353871305204740E+000                  5.7781949691732726E-001                  5.3943935262145180E+002                  2.7319426254741970E+000                  0.0000000000000000E+000                  3.7952060831839731E+001                                        0                  1.5726221711740571E+006                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7407326433975321E+001                  6.8932032504856533E-001                 -1.2301029995663987E+001                  1.3999999999999917E+000                  9.9999999999870004E-001                  3.7828532768913279E+000                  1.4510712329063965E+004                  7.3337807230251861E-001                 -1.3467207940457290E-001                  1.0848935582886879E+003                  8.9693823648894622E-001                  2.9881496689095468E+000                  2.0471079371205650E-001                  6.9429449029211276E-001                  1.3124068580814081E+000                  8.4385808518061067E-001                  7.5384359312974736E-001                  7.8717611140888796E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0606009289458919E+008                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6431839487679044E-003                  1.3998302972245494E-001                  1.3998302972245494E-001                  4.0163349518208298E+000                  4.0163349518198252E+000                 -1.1886056647693170E+001                  6.8769777711560043E-001                  5.5179736862928376E-005                  2.9209135238735168E-001                  2.1662396771247880E-003                  2.9086761845100190E-003                  8.9185286454194351E-003                  2.0850244238750358E-003                  4.0772218292556743E-003                  7.8717611140888796E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.5856178569807772E-002                 -5.5781519956718313E+000 
                                       4                  4.1636777529024140E+000                 -9.2424046608505304E+000                  3.0492978388889154E+000                  5.7780588401477051E-001                  5.3943052670758095E+002                  2.7319355198060058E+000                  0.0000000000000000E+000                  3.7926877221773346E+001                                        0                  1.5730324220453212E+006                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7384594581027311E+001                  6.8895087411689770E-001                 -1.2301029995663987E+001                  1.0000000000000009E+000                  9.9999999999820000E-001                  3.7827347057186844E+000                  1.4577322195930985E+004                  7.5940783330157346E-001                 -1.1952492741994725E-001                  1.1202058565876437E+003                  8.9834167654945041E-001                  3.0027393871568284E+000                  2.0253534810810420E-001                  6.9507186080840277E-001                  1.3124068580814081E+000                  8.4385808518061067E-001                  7.5679173074892114E-001                  8.0991987991132512E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0779444605556440E+008                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6559034050135104E-003                  1.4299681951057588E-001                  1.4299681951057588E-001                  4.0163349518188216E+000                  4.0163349518178171E+000                 -1.1744727494896701E+001                  6.8769777711560043E-001                  5.5179736862928376E-005                  2.9209135238735168E-001                  2.1662396771247880E-003                  2.9086761845100190E-003                  8.9185286454194351E-003                  2.0850244238750358E-003                  4.0772218292556743E-003                  8.0991987991132523E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -6.0626251399504477E-002                 -5.5697601666553567E+000 
                                       5                  4.1651531515522278E+000                 -9.2334301670428012E+000                  3.0594472780648623E+000                  5.7779265214758280E-001                  5.3942255723531741E+002                  2.7319291035517832E+000                  0.0000000000000000E+000                  3.7909667038231717E+001                                        0                  1.5734554355673937E+006                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7368165554711855E+001                  6.8866681646907912E-001                 -1.2602059991327971E+001                  2.0000000000000129E+000                  9.9999999999769995E-001                  3.7826194570041918E+000                  1.4626928940952175E+004                  7.8561651418600953E-001                 -1.0478939596388145E-001                  1.1466933081410380E+003                  8.9933115208001246E-001                  3.0133669153370204E+000                  2.0095876651620048E-001                  6.9567012501772851E-001                  1.3124068580814081E+000                  8.4385808518061067E-001                  7.5882325689751240E-001                  8.2683101858082993E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.0957635977620852E+008                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6655841509613965E-003                  1.4585760055303462E-001                  1.4585760055303462E-001                  4.0163349518168134E+000                  4.0163349518163107E+000                 -1.1638272163982414E+001                  6.8769777711560043E-001                  5.5179736862928376E-005                  2.9209135238735168E-001                  2.1662396771247880E-003                  2.9086761845100190E-003                  8.9185286454194351E-003                  2.0850244238750358E-003                  4.0772218292556743E-003                  8.2683101858082982E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.5626693160467089E-002                 -5.5637364701472549E+000 
                                       6                  4.1668008562418590E+000                 -9.2236341023293811E+000                  3.0705895209921423E+000                  5.7778617108503061E-001                  5.3941893583732440E+002                  2.7319261879183463E+000                  0.0000000000000000E+000                  3.7892038594633199E+001                                        0                  1.5740498664460294E+006                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7350308298644979E+001                  6.8833929296635954E-001                 -1.2226396377367081E+001                  4.2105263157894268E-001                  9.9999999999744993E-001                  3.7825630086461985E+000                  1.4682528625920471E+004                  7.9878289483114939E-001                 -9.7571243701162672E-002                  1.1764934699405414E+003                  9.0038065674633549E-001                  3.0250156772911212E+000                  1.9923726858198124E-001                  6.9636055219861293E-001                  1.3124068580814081E+000                  8.4385808518061067E-001                  7.6091309158638876E-001                  8.4569362142513707E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1049077439193511E+008                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6768542104200926E-003                  1.4722795687026796E-001                  1.4722795687026796E-001                  4.0163349518158089E+000                  4.0163349518146170E+000                 -1.1593459819566052E+001                  6.8769777711560043E-001                  5.5179736862928376E-005                  2.9209135238735168E-001                  2.1662396771247880E-003                  2.9086761845100190E-003                  8.9185286454194351E-003                  2.0850244238750358E-003                  4.0772218292556743E-003                  8.4569362142513696E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.3220736183941630E-002                 -5.5572358148130974E+000 
                                       7                  4.1692679292125128E+000                 -9.2093106793379427E+000                  3.0869830020149402E+000                  5.7777112075375958E-001                  5.3941120823277754E+002                  2.7319199662605040E+000                  0.0000000000000000E+000                  3.7868192247104353E+001                                        0                  1.5751730344095849E+006                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7324306628231696E+001                  6.8783022049423981E-001                 -1.2162727297497710E+001                  8.6363636363637686E-001                  9.9999999999685618E-001                  3.7824319274506224E+000                  1.4766172215146084E+004                  8.3020544196031665E-001                 -8.0814424166858315E-002                  1.2217518407086843E+003                  9.0186622961135376E-001                  3.0421251270846223E+000                  1.9674992304069688E-001                  6.9743500426598315E-001                  1.3124068580814081E+000                  8.4385808518061067E-001                  7.6377431066832224E-001                  8.7405108875329345E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1271477041583467E+008                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.6941656653120694E-003                  1.5033197791955943E-001                  1.5033197791955943E-001                  4.0163349518134241E+000                  4.0163349518120439E+000                 -1.1502551997600003E+001                  6.8769777711560043E-001                  5.5179736862928376E-005                  2.9209135238735168E-001                  2.1662396771247880E-003                  2.9086761845100190E-003                  8.9185286454194351E-003                  2.0850244238750358E-003                  4.0772218292556743E-003                  8.7405108875329356E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.7752618338411990E-002                 -5.5478465377629682E+000 
                                       8                  4.1718703491554834E+000                 -9.1946276548075563E+000                  3.1039163301458181E+000                  5.7775425756946741E-001                  5.3940327153034832E+002                  2.7319135761607525E+000                  0.0000000000000000E+000                  3.7846196479545895E+001                                        0                  1.5766650102073872E+006                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7297787642403328E+001                  6.8726935255630905E-001                 -1.2162727297497712E+001                  1.0000000000000036E+000                  9.9999999999616873E-001                  3.7822850625674378E+000                  1.4854921090042133E+004                  8.6683263173510816E-001                 -6.2064748118553108E-002                  1.2703293438435308E+003                  9.0332930591411320E-001                  3.0597624300387434E+000                  1.9425796559840672E-001                  6.9862063235665961E-001                  1.3124068580814081E+000                  8.4385808518061067E-001                  7.6645617918778230E-001                  9.0410776079921670E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1532387910687894E+008                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.7130683584541088E-003                  1.5370527407540427E-001                  1.5370527407540427E-001                  4.0163349518106628E+000                  4.0163349518092826E+000                 -1.1416659508137517E+001                  6.8769777711560043E-001                  5.5179736862928376E-005                  2.9209135238735168E-001                  2.1662396771247880E-003                  2.9086761845100190E-003                  8.9185286454194351E-003                  2.0850244238750358E-003                  4.0772218292556743E-003                  9.0410776079921670E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.1798670244147518E-002                 -5.5383683531185213E+000 
                                       9                  4.1744266917248458E+000                 -9.1805995492305037E+000                  3.1202165251143259E+000                  5.7773795311345744E-001                  5.3939643545658612E+002                  2.7319080721379136E+000                  0.0000000000000000E+000                  3.7827547399143157E+001                                        0                  1.5784451569037922E+006                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.7272576519464231E+001                  6.8669491432977059E-001                 -1.2162727297497705E+001                  9.9999999999998590E-001                  9.9999999999548128E-001                  3.7821430691841003E+000                  1.4942617918661181E+004                  9.0368951735308889E-001                 -4.3980755433291628E-002                  1.3189141423900496E+003                  9.0467210304046264E-001                  3.0767077234973583E+000                  1.9196107724856509E-001                  6.9983696717878718E-001                  1.3124068580814081E+000                  8.4385808518061067E-001                  7.6877387261305719E-001                  9.3378877106630074E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1797429864789176E+008                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.7322645969130423E-003                  1.5684691366399869E-001                  1.5684691366399869E-001                  4.0163349518079015E+000                  4.0163349518065221E+000                 -1.1344981685361402E+001                  6.8769777711560043E-001                  5.5179736862928376E-005                  2.9209135238735168E-001                  2.1662396771247880E-003                  2.9086761845100190E-003                  8.9185286454194351E-003                  2.0850244238750358E-003                  4.0772218292556743E-003                  9.3378877106630074E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -3.6262607759487225E-002                 -5.5294529326801936E+000 
