                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     800                                     1198                  5.0000000000000000E+000                  2.0000000000000000E-002                  8.4962768775859967E+007                  9.9999999999999574E+000                  9.5072703475693997E+003                  9.9859526336947715E+002                  1.1647594011706758E+001                 -6.5682526931731000E-001                  0.0000000000000000E+000                  1.3798994813908207E-046                  9.8058269466681636E-001                  1.7410447657534514E-004                  1.2725689471804294E-002                  3.5526513167336411E-004                  2.0850244238750401E-003                  4.9999928251920398E+000                 -8.5122420087866183E-009                  2.9028553075874544E+000                  2.2847128201005775E-004                  1.9967844309348843E+000                  9.1041765505037071E-003                  2.3148897154958617E-002                  3.7060354629513882E-002                  1.0425107159725366E-002                  6.1475748681534792E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.7792079175118133E+005                  5.0616713607652768E+004                  5.0070263785559915E+007                  1.1135988277729641E+003                  1.1135988277729607E+003                  2.6787915920993711E-014                  7.5790995024543236E+001                  5.0000000000000000E+001                  1.0000000000000000E+003                  2.6812210719210785E+015                               "r22.11.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20230123"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78 
                                    zone                                     logT                                   logRho                                     logP                                     logR                               luminosity                                     logL                                 velocity                                  entropy                                 mix_type                                   csound                             v_div_csound                                  v_div_r                                      eta                                       mu                                    logdq                                 dq_ratio                                        q                                   radius                              temperature                                      tau                                   logtau                                 pressure                          pgas_div_ptotal                                  logPgas                                    grada                                   free_e                                     abar                                       ye                              log_opacity                                  eps_nuc                              non_nuc_neu                                 eps_grav                        mlt_mixing_length                                log_D_mix                             log_conv_vel                      conv_vel_div_csound                            log_mlt_D_mix                    pressure_scale_height                                    gradT                                    gradr                                     mass                                     mmid                                    logxq                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                       pp                                      cno                                tri_alpha                                  c_alpha                                  n_alpha                                  o_alpha                                 ne_alpha                                 na_alpha                                 mg_alpha                                 si_alpha                                  s_alpha                                 ar_alpha                                 ca_alpha                                 ti_alpha                                 cr_alpha                                 fe_co_ni                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                ni56_co56                                co56_fe56                                    other                          gradr_sub_grada                                     logQ 
                                       1                  3.9781969210805164E+000                 -9.8975677514412421E+000                  2.1791804178912670E+000                  1.0662362244733992E+000                  9.9859526336947715E+002                  2.9993895017377392E+000                  0.0000000000000000E+000                  3.6916128014070679E+001                                        1                  1.1318742473710580E+006                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8509159839710062E+001                  7.6720713731387413E-001                 -1.2221848749616305E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.1647594011706758E+001                  9.5103592178895015E+003                  6.6666666666666663E-001                 -1.7609125905568127E-001                  1.5107076133811736E+002                  8.6343574597346362E-001                  2.1154104422412483E+000                  9.8856273747845558E-002                  5.3774746219989744E-001                  1.2966429887659308E+000                  8.5000496627254196E-001                  6.8109556487732836E-001                  1.8563900617179571E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3616395077823691E+009                  1.0548801992314033E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0542806038479391E+001                  1.6973117060387878E-002                  1.3432238224557519E-001                  1.3432238224557527E-001                  4.9999928251920398E+000                  4.9999928251905397E+000                 -9.8999999999999986E+001                  7.0000000000000007E-001                  2.9797635251197737E-005                  2.7997020236474895E-001                  3.4468833607860677E-003                  1.0103427409336072E-003                  9.3805276451495445E-003                  2.0850244238750371E-003                  4.0772218292556787E-003                  1.8563900617179569E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5466108497729715E-002                 -5.8539615936022749E+000 
                                       2                  3.9786204139616097E+000                 -9.8950127699428041E+000                  2.1823194929006320E+000                  1.0662331639292568E+000                  9.9859526289109112E+002                  2.9993895015296865E+000                  0.0000000000000000E+000                  3.6929065795683648E+001                                        1                  1.1329863043355257E+006                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8502569356714275E+001                  7.6651977709905272E-001                 -1.1920818753952323E+001                  4.9999999999999989E-001                  9.9999999999940004E-001                  1.1647511929498711E+001                  9.5196375622627802E+003                  6.7013562311628339E-001                 -1.7383729519403512E-001                  1.5216665466625699E+002                  8.6388940475546261E-001                  2.1187776404967038E+000                  9.9055786121486300E-002                  5.3891570382740495E-001                  1.2966429887659308E+000                  8.5000496627254196E-001                  6.8397204988629312E-001                  1.8673436282129184E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3626698215660362E+009                  1.0548801992314033E+001                  1.6525213726396615E+000                  3.9654886624580513E-005                  1.0548934250601883E+001                  1.6995720442695591E-002                  1.3477004480466903E-001                  1.3477004480466909E-001                  4.9999928251890395E+000                  4.9999928251860402E+000                 -1.2221848749616305E+001                  7.0000000000000007E-001                  2.9797635251197737E-005                  2.7997020236474895E-001                  3.4468833607860677E-003                  1.0103427409336072E-003                  9.3805276451495445E-003                  2.0850244238750371E-003                  4.0772218292556787E-003                  1.8673436282129184E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5847266932276606E-002                 -5.8522535978660244E+000 
                                       3                  3.9793022643038070E+000                 -9.8909770054288249E+000                  2.1873084533663700E+000                  1.0662270785537660E+000                  9.9859526095378942E+002                  2.9993895006871436E+000                  0.0000000000000000E+000                  3.6950320349977432E+001                                        1                  1.1347948557387758E+006                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8492138989737139E+001                  7.6541303631642299E-001                 -1.1772756218496884E+001                  7.1111111111110925E-001                  9.9999999999820000E-001                  1.1647348724599741E+001                  9.5345953076121386E+003                  6.7711978784578941E-001                 -1.6933449438945503E-001                  1.5392474874904201E+002                  8.6459634918041006E-001                  2.1241218507285304E+000                  9.9387255161922816E-002                  5.4080127003224110E-001                  1.2966429887659308E+000                  8.5000496627254196E-001                  6.8853859196136435E-001                  1.8847773443404054E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3668893091844306E+009                  1.0572679480769418E+001                  1.6756239741091565E+000                  4.1754819989875195E-005                  1.0572809905435040E+001                  1.7032586536130503E-002                  1.3655886668757469E-001                  1.3655886668757478E-001                  4.9999928251830399E+000                  4.9999928251788210E+000                 -1.1744727494896642E+001                  7.0000000000000007E-001                  2.9797635251197737E-005                  2.7997020236474895E-001                  3.4468833607860677E-003                  1.0103427409336072E-003                  9.3805276451495445E-003                  2.0850244238750371E-003                  4.0772218292556787E-003                  1.8847773443404054E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7365327198634335E-002                 -5.8495815340364388E+000 
                                       4                  3.9803551347579309E+000                 -9.8849182452564914E+000                  2.1948660546847445E+000                  1.0662185997223925E+000                  9.9859525814810934E+002                  2.9993894994669383E+000                  0.0000000000000000E+000                  3.6983997930827556E+001                                        1                  1.1376273089576326E+006                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8476443358398932E+001                  7.6370681610232338E-001                 -1.1560667306169682E+001                  6.1363636363636098E-001                  9.9999999999651246E-001                  1.1647121332942957E+001                  9.5577382957728205E+003                  6.8704541862192503E-001                 -1.6301455201631629E-001                  1.5662679264909028E+002                  8.6563558839120858E-001                  2.1322011577201176E+000                  9.9923130941485860E-002                  5.4371933566708419E-001                  1.2966429887659308E+000                  8.5000496627254196E-001                  6.9543946574937765E-001                  1.9112560785001419E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3729641386119695E+009                  1.0604497371823404E+001                  1.7063286761230176E+000                  4.4702176327300546E-005                  1.0604625680231877E+001                  1.7090803761476758E-002                  1.3906635422698627E-001                  1.3906635422698638E-001                  4.9999928251746022E+000                  4.9999928251677277E+000                 -1.1457485783718294E+001                  7.0000000000000007E-001                  2.9797635251197737E-005                  2.7997020236474895E-001                  3.4468833607860677E-003                  1.0103427409336072E-003                  9.3805276451495445E-003                  2.0850244238750371E-003                  4.0772218292556787E-003                  1.9112560785001419E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9475315317905796E-002                 -5.8456285147723541E+000 
                                       5                  3.9824456180395482E+000                 -9.8734447856376075E+000                  2.2093955276822932E+000                  1.0662049727521064E+000                  9.9859525338187836E+002                  2.9993894973940787E+000                  0.0000000000000000E+000                  3.7053243195515662E+001                                        1                  1.1433786098627914E+006                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8446640281510408E+001                  7.6034087235866532E-001                 -1.1221848749616303E+001                  4.5833333333333409E-001                  9.9999999999376243E-001                  1.1646755883937860E+001                  9.6038555225077107E+003                  7.0348042994189453E-001                 -1.5274797965988712E-001                  1.6195543528732165E+002                  8.6753025058219180E-001                  2.1476801551588811E+000                  1.0107101380159293E-001                  5.4951602396327304E-001                  1.2966429887659308E+000                  8.5000496627254196E-001                  7.0862313649453279E-001                  1.9624222842048648E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3832385754075346E+009                  1.0652306183931378E+001                  1.7522612039795709E+000                  4.9439166546367069E-005                  1.0652432063948092E+001                  1.7210411207435047E-002                  1.4312596020231413E-001                  1.4312596020231430E-001                  4.9999928251608514E+000                  4.9999928251458519E+000                 -1.1204989441368500E+001                  7.0000000000000007E-001                  2.9797635251197737E-005                  2.7997020236474895E-001                  3.4468833607860677E-003                  1.0103427409336072E-003                  9.3805276451495445E-003                  2.0850244238750371E-003                  4.0772218292556787E-003                  1.9624222842048648E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2842066076223373E-002                 -5.8383360217167031E+000 
                                       6                  3.9846080731750990E+000                 -9.8624137038194277E+000                  2.2237053257638841E+000                  1.0661760121033284E+000                  9.9859524238573215E+002                  2.9993894926117948E+000                  0.0000000000000000E+000                  3.7128561995232232E+001                                        1                  1.1495222474958613E+006                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8417843037489288E+001                  7.5688666722931730E-001                 -1.1536667029765919E+001                  2.0645161290322687E+000                  9.9999999998776246E-001                  1.1645979253391941E+001                  9.6517946459602608E+003                  7.4044748219132384E-001                 -1.3050573930799941E-001                  1.6738067918098818E+002                  8.6924547201957070E-001                  2.1628477628447640E+000                  1.0238548370814210E-001                  5.5551968466561374E-001                  1.2966429887659308E+000                  8.5000496627254196E-001                  7.2147307259919913E-001                  2.0129068274350418E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4066617986900439E+009                  1.0742312249171237E+001                  1.8380198578273943E+000                  5.9910435551318957E-005                  1.0742435946717578E+001                  1.7338520728485785E-002                  1.5186393496363509E-001                  1.5186393496363540E-001                  4.9999928251308523E+000                  4.9999928251235861E+000                 -1.0912307295188752E+001                  7.0000000000000007E-001                  2.9797635251197737E-005                  2.7997020236474895E-001                  3.4468833607860677E-003                  1.0103427409336072E-003                  9.3805276451495445E-003                  2.0850244238750371E-003                  4.0772218292556787E-003                  2.0129068274350418E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.9907383540788303E-002                 -5.8316298501696266E+000 
                                       7                  3.9862891748169855E+000                 -9.8542487896107414E+000                  2.2344632047657624E+000                  1.0661623340943862E+000                  9.9859523680851839E+002                  2.9993894901862346E+000                  0.0000000000000000E+000                  3.7188042998386805E+001                                        1                  1.1543950286988227E+006                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8396554240211774E+001                  7.5424601027426119E-001                 -1.1399639793549881E+001                  7.2941176470588254E-001                  9.9999999998485622E-001                  1.1645612471619273E+001                  9.6892279840007486E+003                  7.5889292633959271E-001                 -1.1981949522469193E-001                  1.7157863354103910E+002                  8.7045422162079422E-001                  2.1742091406783168E+000                  1.0348668338432017E-001                  5.6014672765370899E-001                  1.2966429887659308E+000                  8.5000496627254196E-001                  7.3099468907001042E-001                  2.0511087160153235E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4184889985304904E+009                  1.0779814799843377E+001                  1.8733934227299609E+000                  6.4720069487737345E-005                  1.0779938621550199E+001                  1.7441251748250099E-002                  1.5601923322447608E-001                  1.5601923322447647E-001                  4.9999928251163208E+000                  4.9999928251063599E+000                 -1.0819766568518364E+001                  7.0000000000000007E-001                  2.9797635251197737E-005                  2.7997020236474895E-001                  3.4468833607860677E-003                  1.0103427409336072E-003                  9.3805276451495445E-003                  2.0850244238750371E-003                  4.0772218292556787E-003                  2.0511087160153232E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.3169297952232047E-002                 -5.8268271392447133E+000 
                                       8                  3.9882476307264092E+000                 -9.8451964049268668E+000                  2.2465828555898990E+000                  1.0661439292000059E+000                  9.9859522895080613E+002                  2.9993894867688726E+000                  0.0000000000000000E+000                  3.7258323938764235E+001                                        1                  1.1601824783086900E+006                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8372984560968085E+001                  7.5122051870485529E-001                 -1.1399639793549881E+001                  1.0000000000000000E+000                  9.9999999998087186E-001                  1.1645118954582172E+001                  9.7330203347202696E+003                  7.8474349209916439E-001                 -1.0527227722988382E-001                  1.7643423372106187E+002                  8.7172635444191848E-001                  2.1869630315694653E+000                  1.0486187838825828E-001                  5.6548786539944840E-001                  1.2966429887659308E+000                  8.5000496627254196E-001                  7.4154876695127647E-001                  2.0943109766017528E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4352590358742723E+009                  1.0825480730811728E+001                  1.9160583996421838E+000                  7.1044767512633749E-005                  1.0825605720268378E+001                  1.7563380377340163E-002                  1.6160363996417648E-001                  1.6160363996417701E-001                  4.9999928250963990E+000                  4.9999928250864381E+000                 -1.0718327598820666E+001                  7.0000000000000007E-001                  2.9797635251197737E-005                  2.7997020236474895E-001                  3.4468833607860677E-003                  1.0103427409336072E-003                  9.3805276451495445E-003                  2.0850244238750371E-003                  4.0772218292556787E-003                  2.0943109766017528E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7429359077887793E-002                 -5.8216916663796852E+000 
                                       9                  3.9904832397375714E+000                 -9.8353735488155820E+000                  2.2599465304606841E+000                  1.0661259016963029E+000                  9.9859522093487806E+002                  2.9993894832827022E+000                  0.0000000000000000E+000                  3.7338925334411833E+001                                        1                  1.1669160201578697E+006                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.8347525476042495E+001                  7.4784757925953960E-001                 -1.1295634963777221E+001                  7.8703703703703443E-001                  9.9999999997688749E-001                  1.1644635577342189E+001                  9.7832519859806234E+003                  8.1123218709702083E-001                 -9.0854826253704793E-002                  1.8194768341719754E+002                  8.7302559137465685E-001                  2.2009735050137893E+000                  1.0655114841830686E-001                  5.7149257773205742E-001                  1.2966429887659308E+000                  8.5000496627254196E-001                  7.5292302659561539E-001                  2.1422203436006035E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4524875397934952E+009                  1.0865278435058723E+001                  1.9527945576244350E+000                  7.6869659170788779E-005                  1.0865405468981795E+001                  1.7705690602214077E-002                  1.6704732992023560E-001                  1.6704732992023630E-001                  4.9999928250764771E+000                  4.9999928250638215E+000                 -1.0636153075832718E+001                  7.0000000000000007E-001                  2.9797635251197737E-005                  2.7997020236474895E-001                  3.4468833607860677E-003                  1.0103427409336072E-003                  9.3805276451495445E-003                  2.0850244238750371E-003                  4.0772218292556787E-003                  2.1422203436006035E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.1441472503200145E-002                 -5.8163400282907247E+000 
