                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.11.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20230123"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                             fe_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                tri_alpha                        v_div_csound_surf                              num_retries                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index 
                                       1                  1.7888543819998320E+003                  1.0000000000000000E+000                 -9.8999999999999986E+001                  3.2525749891599527E+000                                     3832                  8.4531384418069011E-002                  8.4454782405631867E-002                  3.9064931751463014E-008                  9.9999999996481204E-001                  9.7177887088860504E-001                  8.4454782405631867E-002                  3.9064931751463014E-008                  9.9999999996481204E-001                  9.7177887088860504E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4825984795296682E-001                 -4.6889303861100956E+001                 -9.8999999999999986E+001                 -1.4825984795296682E-001                  3.7497704948630335E+000                  7.1018479613374330E-001                 -1.4862862945188779E-001                 -5.1202143587513557E-002                  4.5404719144781600E+000                  3.4711382755223865E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1366907867891198E+000                  1.8873886569430476E+000                  1.7152745658031542E+001                  6.2135673162150162E-001                  8.4976435518245097E-001                  6.9950351708838876E-001                  2.8034614959343435E-001                  2.9983448400670580E-003                  9.3805041819512297E-003                  3.4468833607860672E-003                  9.3805276451495254E-003                  6.9990185343673439E-001                  2.8001872199355243E-001                 -2.1186960976154109E-001                 -1.0139371433697046E+000                 -4.6889303861100956E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+000                  1.7888543819998320E+003                  4.9999999973199483E+000                  2.2359815220517234E+001                  3.7708137758161186E+001                  1.8854068879080594E+002                  1.1643897911816895E+001                  5.6290280537503676E+000                 -7.6822348099966786E-001                 -8.4210643036112687E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.8317810899962763E+052                 -1.8457504136827170E+032                  0.0000000000000000E+000                 -1.8457504136827170E+032                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  4.6436302246991836E+004                  1.0000000000000000E+000                 -9.8999999999999986E+001                  3.9652062035885760E+000                                      827                  8.4619125582723553E-002                  8.4454782405604223E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7176372865090554E-001                  8.4454782405604223E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7176372865090554E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4898265501112079E-001                 -4.6889908558831905E+001                 -9.8999999999999986E+001                 -1.4898265501112093E-001                  3.7495681955388802E+000                  7.0843669003013621E-001                 -1.4969895473068853E-001                 -5.1332707578607153E-002                  4.5407330424603476E+000                  3.4732259923248865E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1367477220122222E+000                  1.8874993005325724E+000                  1.7152913103879410E+001                  6.2135786897163270E-001                  8.4976316854521516E-001                  6.9950122959074090E-001                  2.8034815323069462E-001                  2.9950975412226123E-003                  9.3805039884074896E-003                  3.4468833607860733E-003                  9.3805276451495393E-003                  6.9990146249887897E-001                  2.8001894557782475E-001                 -2.1259877268612068E-001                 -1.0146196584143343E+000                 -4.6889908558831905E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+001                  4.6436302246991843E+004                  4.9999999304295759E+000                  2.2359815021096384E+001                  3.7708137926315281E+001                  1.8854068963157638E+002                  1.1643897807968269E+001                  5.6290280035466624E+000                 -7.7134114812482413E-001                 -8.4215389010462316E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.8317810639902751E+052                 -1.8457504616960787E+032                  0.0000000000000000E+000                 -1.8457504616960787E+032                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      20                  3.3395764619126602E+005                  1.0000000000000000E+000                 -9.8999999999999986E+001                  4.7570186640648240E+000                                      825                  8.2366798724409121E-002                  8.2250202774511449E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7165170761924424E-001                  8.2250202774511449E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7165170761924424E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5271391408521071E-001                 -4.6895739058539561E+001                 -9.8999999999999986E+001                 -1.5271391408521082E-001                  3.7493381907457581E+000                  7.0459169690997991E-001                 -1.5206247896264646E-001                 -5.2054460108341499E-002                  4.5421765475198157E+000                  3.4847894840520057E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1366370862781503E+000                  1.8874523448359983E+000                  1.7152750403907213E+001                  6.2136528893424303E-001                  8.4975549645772441E-001                  6.9948632047782922E-001                  2.8036086775937963E-001                  2.9740979756509192E-003                  9.3805027311449473E-003                  3.4468833607860733E-003                  9.3805276451495393E-003                  6.9989893996786268E-001                  2.8002036708685496E-001                 -2.1613169278187275E-001                 -1.0196103000340320E+000                 -4.6895739058539561E+001                  0.0000000000000000E+000                                        0                  2.0000000000000000E+001                  3.3395764619126602E+005                  4.9999994996678465E+000                  2.2359813736862673E+001                  3.7708139009196877E+001                  1.8854069504598436E+002                  1.1643897139202180E+001                  5.6290276802440093E+000                 -7.7215220355521108E-001                 -8.4241598711274135E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.8317808965163949E+052                 -1.8457507708933718E+032                  0.0000000000000000E+000                 -1.8457507708933718E+032                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      30                  2.1142140237084259E+006                  1.0000000000000000E+000                 -9.8999999999999986E+001                  5.5488311245410724E+000                                      814                  7.2196304783096951E-002                  7.0695938927432866E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7108621367527770E-001                  7.0695938927432866E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7108621367527770E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5829749672423704E-001                 -4.6930368910159764E+001                 -1.5477468515471340E+001                 -1.5829749672423685E-001                  3.7483946265409638E+000                  6.9072530610654470E-001                 -1.6069463245323848E-001                 -5.4483408444050328E-002                  4.5470344441912331E+000                  3.5239881892459933E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1359364267730996E+000                  1.8885138975094933E+000                  1.7153090274660393E+001                  6.2141301972884400E-001                  8.4970701616308031E-001                  6.9939032969812487E-001                  2.8043777141226106E-001                  2.8421125459074368E-003                  9.3804946027518776E-003                  3.4468833607860733E-003                  9.3805276451495393E-003                  6.9988338507045345E-001                  2.8002902802433166E-001                 -2.1786679306137244E-001                 -1.0505035926292732E+000                 -4.6930368910159764E+001                  0.0000000000000000E+000                                        0                  3.0000000000000000E+001                  2.1142140237084259E+006                  4.9999968325035509E+000                  2.2359805785221585E+001                  3.7708145714120064E+001                  1.8854072857060027E+002                  1.1643892998376497E+001                  5.6290256784380759E+000                 -7.6968358311562279E-001                 -8.4329481671105033E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.8317798595615870E+052                 -1.8457526853638824E+032                  0.0000000000000000E+000                 -1.8457526853638824E+032                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      40                  1.3137092277591309E+007                  1.0000000000000000E+000                 -9.8999999999999986E+001                  6.3406435850173199E+000                                      807                  4.6436958534146207E-002                  4.6225583121806135E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7064473359327974E-001                  4.6225583121806135E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7064473359327974E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5820378827788337E-001                 -4.7027847130140636E+001                 -1.5477468515471340E+001                 -1.5820378827788317E-001                  3.7483020963542453E+000                  6.9549168028037534E-001                 -1.5770806082640657E-001                 -5.2805062257196590E-002                  4.5436777518175262E+000                  3.4968560267399684E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1338787667139645E+000                  1.8934662902911634E+000                  1.7155816277183128E+001                  6.2172837396521952E-001                  8.4938828145167689E-001                  6.9875427902058485E-001                  2.8094563123572258E-001                  2.0473850523122557E-003                  9.3804346636532400E-003                  3.4468833607860733E-003                  9.3805276451495393E-003                  6.9979278230595832E-001                  2.8008708561544354E-001                 -1.9891873226910126E-001                 -1.2064326994104819E+000                 -4.7027847130140636E+001                  0.0000000000000000E+000                                        0                  4.0000000000000000E+001                  1.3137092277591307E+007                  4.9999803180791602E+000                  2.2359756550587026E+001                  3.7708187229459192E+001                  1.8854093614729598E+002                  1.1643867359387407E+001                  5.6290132837408748E+000                 -7.5413208332776149E-001                 -8.4268770599371656E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.8317734389846147E+052                 -1.8457645393513913E+032                  0.0000000000000000E+000                 -1.8457645393513913E+032                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      50                  3.3330338415858444E+007                  1.0000000000000000E+000                 -9.8999999999999986E+001                  6.2386352766121149E+000                                      795                  2.1027041724389451E-002                  9.9999999996481237E-001                  9.7132177332194325E-001                  2.0409872087449599E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7132177332194325E-001                  2.0409872087449599E-002                  3.9064904063107934E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5276105752602911E-001                 -4.7031002296087401E+001                 -1.5176438519807359E+001                 -1.5276105752602870E-001                  3.7492418744406861E+000                  7.0735301546915952E-001                 -1.5036379071882003E-001                 -5.1012483376285195E-002                  4.5400925940557038E+000                  3.4681078460411118E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1333673822527484E+000                  1.9043574312793508E+000                  1.7165867101832202E+001                  6.2233834433602742E-001                  8.4876710770137809E-001                  6.9751448709137331E-001                  2.8200439380099951E-001                  9.1509306881560433E-004                  9.3802806437200612E-003                  3.4468833607860742E-003                  9.3805276451495410E-003                  6.9963597358608787E-001                  2.8020397316349072E-001                 -1.7635288993315468E-001                 -1.4295262136071367E+000                 -4.7031002296087401E+001                  0.0000000000000000E+000                                        0                  5.0000000000000000E+001                  3.3330338415858444E+007                  4.9999500644239321E+000                  2.2359666354892266E+001                  3.7708263284098415E+001                  1.8854131642049205E+002                  1.1643820389882002E+001                  5.6289905771983069E+000                 -7.2380570602771399E-001                 -8.4203641011622077E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.8317616767503914E+052                 -1.8457911907715594E+032                  0.0000000000000000E+000                 -1.8457911907715594E+032                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      60                  4.8604937082598358E+007                  1.0000000000000000E+000                 -9.8999999999999986E+001                  6.1368231561907516E+000                                      789                  3.7132665716411812E-003                  9.9999999996481248E-001                  9.7175173845666107E-001                  3.6248704771142393E-003                  3.9064904063107934E-008                  9.9999999996481248E-001                  9.7175173845666107E-001                  3.6248704771142393E-003                  3.9064904063107934E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4852236862721746E-001                 -4.7036156142560088E+001                 -1.5352529778863040E+001                 -1.4852236862721718E-001                  3.7497502032023942E+000                  7.1288689512280345E-001                 -1.4697936877440534E-001                 -5.0336929927493369E-002                  4.5387414871581200E+000                  3.4573351944143695E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1328746803407475E+000                  1.9112219263160926E+000                  1.7171950066000491E+001                  6.2284352503407603E-001                  8.4824814495320922E-001                  6.9647907986197832E-001                  2.8295364198326239E-001                  3.5266083753556599E-004                  9.3800817857024130E-003                  3.4468833607860742E-003                  9.3805276451495410E-003                  6.9951978529222258E-001                  2.8029764346492175E-001                 -1.6528665323957187E-001                 -1.5702768338046678E+000                 -4.7036156142560088E+001                  0.0000000000000000E+000                                        0                  6.0000000000000000E+001                  4.8604937082598366E+007                  4.9999271797121176E+000                  2.2359598128222725E+001                  3.7708320814364406E+001                  1.8854160407182198E+002                  1.1643784860770195E+001                  5.6289734013033774E+000                 -6.9187949656516690E-001                 -8.4179002074619091E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.8317527794356020E+052                 -1.8458113704913651E+032                  0.0000000000000000E+000                 -1.8458113704913651E+032                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      70                  6.0667982349521175E+007                  1.0000000000000000E+000                 -9.8999999999999986E+001                  6.0350519120457715E+000                                      788                  0.0000000000000000E+000                  9.9999999996481248E-001                  9.7195943314760191E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996481248E-001                  9.7195943314760191E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4618477378764688E-001                 -4.7032546046499668E+001                 -9.8999999999999986E+001                 -1.4618477378764722E-001                  3.7499946656197563E+000                  7.1567292572184615E-001                 -1.4528541206090825E-001                 -4.9978876405469115E-002                  4.5380253801140711E+000                  3.4516391008129714E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1324731720487362E+000                  1.9147436046178790E+000                  1.7174807633333192E+001                  6.2326790664594578E-001                  8.4780974637086615E-001                  6.9560366165906473E-001                  2.8379573297088062E-001                  1.2769833062991473E-004                  9.3798445814196069E-003                  3.4468833607860742E-003                  9.3805276451495410E-003                  6.9942866114111601E-001                  2.8037358063067208E-001                 -1.5994562856721903E-001                 -1.6521859334266966E+000                 -4.7032546046499668E+001                  0.0000000000000000E+000                                        0                  7.0000000000000000E+001                  6.0667982349521190E+007                  4.9999091064889711E+000                  2.2359544246071330E+001                  3.7708366249195372E+001                  1.8854183124597688E+002                  1.1643756801581691E+001                  5.6289598366053326E+000                 -6.5474151635748035E-001                 -8.4165914938069908E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.8317457527535103E+052                 -1.8458273081339972E+032                  0.0000000000000000E+000                 -1.8458273081339972E+032                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      80                  7.0201714758728296E+007                  1.0000000000000000E+000                 -9.8999999999999986E+001                  5.9320262928343928E+000                                      788                  0.0000000000000000E+000                  9.9999999996481248E-001                  9.7205805436048742E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996481248E-001                  9.7205805436048742E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4488615248156694E-001                 -4.7025120903294564E+001                 -1.5477468515471340E+001                 -1.4488615248156675E-001                  3.7501240663887567E+000                  7.1729982518754576E-001                 -1.4429927500604262E-001                 -4.9744609416036922E-002                  4.5375568461352067E+000                  3.4479173446602232E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1324470460073384E+000                  1.9164905484175141E+000                  1.7176309519999403E+001                  6.2360342904212918E-001                  8.4746254818181810E-001                  6.9490927756238596E-001                  2.8447863824999919E-001                  5.8449161222504418E-005                  9.3796376500316428E-003                  3.4468833607860733E-003                  9.3805276451495410E-003                  6.9935691954550250E-001                  2.8043441004282821E-001                 -1.5704147155642489E-001                 -1.7039675844735338E+000                 -4.7025120903294564E+001                  0.0000000000000000E+000                                        0                  8.0000000000000000E+001                  7.0201714758728310E+007                  4.9998948226813598E+000                  2.2359501661353150E+001                  3.7708402157853122E+001                  1.8854201078926565E+002                  1.1643734625543734E+001                  5.6289491160080951E+000                 -6.1073878425761408E-001                 -8.4157341243917261E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.8317401993449780E+052                 -1.8458399077458746E+032                  0.0000000000000000E+000                 -1.8458399077458746E+032                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
