                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.11.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20230126"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index 
                                       1                                     2477                  1.7888543819998320E+003                  3.2525749891599527E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  1.1387561605926662E+000                  2.2774740499228169E-001                  7.8127319473257466E-008                  9.9999999987213828E-001                  9.9999999960823172E-001                  2.2774740499228169E-001                  7.8127319473257466E-008                  9.9999999987213828E-001                  9.9999999960823172E-001                  2.7167421261751916E+000                 -3.3740808895779537E+001                 -9.8999999999999986E+001                  2.7167421261751912E+000                  1.3591568679923356E+000                  2.6972477298427782E+000                 -3.3740808895779537E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6390061807348301E+032                  1.9279947541757562E+033                  2.5003172466097874E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6333135254418388E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2341364879682519E+000                  5.6698984468633637E+002                  2.7535752803458462E+000                  4.3116782510091545E-001                  4.2747019814373211E+000                  0.0000000000000000E+000                  1.6886413587014463E+001                  1.3156440189684002E+000                  7.4337690769240758E+000                  6.1730886958764519E-001                  8.4954213085397345E-001                  1.2980396787063073E+000                  6.9908392884051263E-001                  2.8035354668801510E-001                  4.7754126439577562E-005                  9.3405622940266348E-003                  3.4468833607860781E-003                  9.3805276451495410E-003                  3.4987491934782371E+000                  1.4003458688943555E+000                                        0                                        4                  1.0000000000000000E+000                  1.7888543819998320E+003                  9.9999992555998973E-001                  8.0501464740212541E+000                  1.1636540884594265E+002                  2.9091352211485668E+002                  3.7020476949580736E+000                  2.4396177902211602E+000                 -2.7100287517318961E-001                 -3.3177273989282935E-001                  5.0000000000000000E+000                  2.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.4792628736746974E+052                 -2.8479462125944510E+034                  0.0000000000000000E+000                 -2.8479462125944510E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                                     1552                  3.9354796403996302E+003                  3.3317562352075774E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  1.0154777331235092E+000                  2.0259721182561641E-001                  7.8127319972857827E-008                  9.9999999987213828E-001                  9.9999999960423291E-001                  2.0259721182561641E-001                  7.8127319972857827E-008                  9.9999999987213828E-001                  9.9999999960423291E-001                  2.7127879234745307E+000                 -3.3731867394257641E+001                 -9.8999999999999986E+001                  2.7127879234745302E+000                  1.3539725778033174E+000                  2.6933499171357353E+000                 -3.3731867394257641E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6293015733009188E+032                  1.9244928036463972E+033                  2.5021438134574236E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6422614133138356E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2340175553763881E+000                  5.6493805902996792E+002                  2.7520008334899613E+000                  4.3061846685670113E-001                  4.2758006979257495E+000                  0.0000000000000000E+000                  1.6887071872409972E+001                  1.3161031105131302E+000                  7.4339688306857798E+000                  6.1731373929060662E-001                  8.4953703364303024E-001                  1.2980526217938382E+000                  6.9907374387925081E-001                  2.8036359755405127E-001                  4.5906163874584547E-005                  9.3393981527637032E-003                  3.4468833607860785E-003                  9.3805276451495428E-003                  3.4987378139178018E+000                  1.4003562799209637E+000                                        0                                        3                  2.0000000000000000E+000                  3.9354796403996297E+003                  9.9999983623197730E-001                  8.0501459946188216E+000                  1.1636541231084003E+002                  2.9091353077710005E+002                  3.7020474744936793E+000                  2.4396176449370084E+000                 -2.7192438944726044E-001                 -3.3178155609304177E-001                  5.0000000000000000E+000                  2.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.4792626807481195E+052                 -2.8479467072637900E+034                  0.0000000000000000E+000                 -2.8479467072637900E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                                     1120                  6.5114299504793880E+003                  3.4109374812552025E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  1.0729031596311991E+000                  2.1331556941763041E-001                  7.8127319528768617E-008                  9.9999999987651322E-001                  9.9999999960536856E-001                  2.1331556941763041E-001                  7.8127319528768617E-008                  9.9999999987651322E-001                  9.9999999960536856E-001                  2.7119599913131687E+000                 -3.3721305265336710E+001                 -9.8999999999999986E+001                  2.7119599913131682E+000                  1.3531533439271120E+000                  2.6925215868114192E+000                 -3.3721305265336710E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6875674103586885E+032                  1.9271001299439929E+033                  2.5052221915090281E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6554482973600413E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2339226661132212E+000                  5.6288471033053179E+002                  2.7504194520546528E+000                  4.3001755466538127E-001                  4.2770025223083890E+000                  0.0000000000000000E+000                  1.6887838520065699E+001                  1.3166592241504456E+000                  7.4341811926923453E+000                  6.1731899993354666E-001                  8.4953151449401421E-001                  1.2980665824052942E+000                  6.9906270940901261E-001                  2.8037460901705913E-001                  4.4743011834682636E-005                  9.3381232082637589E-003                  3.4468833607860785E-003                  9.3805276451495428E-003                  3.4987241981448518E+000                  1.4003688837731689E+000                                        0                                        3                  3.0000000000000000E+000                  6.5114299504793871E+003                  9.9999972903834722E-001                  8.0501454193358022E+000                  1.1636541646871798E+002                  2.9091354117179492E+002                  3.7020472099363584E+000                  2.4396174705959961E+000                 -2.7293104374036198E-001                 -3.3179222204218739E-001                  5.0000000000000000E+000                  2.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.4792624492361775E+052                 -2.8479473008672339E+034                  0.0000000000000000E+000                 -2.8479473008672339E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                                     1008                  9.6025703225750967E+003                  3.4901187273028271E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  1.0780291583813206E+000                  2.1496509375946105E-001                  7.8127319306724012E-008                  9.9999999987651322E-001                  9.9999999960669295E-001                  2.1496509375946105E-001                  7.8127319306724012E-008                  9.9999999987651322E-001                  9.9999999960669295E-001                  2.7130860872920008E+000                 -3.3709500396510272E+001                 -9.8999999999999986E+001                  2.7130860872920008E+000                  1.3516815013309862E+000                  2.6937662331939771E+000                 -3.3709500396510272E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6961528906460646E+032                  1.9361779049173420E+033                  2.5127850425267763E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6609101594480630E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2338380683999288E+000                  5.6077727465415455E+002                  2.7487904056499777E+000                  4.2937222688962678E-001                  4.2782931778598980E+000                  0.0000000000000000E+000                  1.6888664036238200E+001                  1.3172575322309310E+000                  7.4344109138278345E+000                  6.1732554854447652E-001                  8.4952463238757747E-001                  1.2980839411582632E+000                  6.9904895028191905E-001                  2.8038845813133623E-001                  4.3987083072994119E-005                  9.3365174645004545E-003                  3.4468833607860785E-003                  9.3805276451495428E-003                  3.4987078255687321E+000                  1.4003841572702702E+000                                        0                                        3                  4.0000000000000000E+000                  9.6025703225750949E+003                  9.9999960040596891E-001                  8.0501447289960346E+000                  1.1636542145817319E+002                  2.9091355364543296E+002                  3.7020468924675090E+000                  2.4396172613867368E+000                 -2.7401054705172445E-001                 -3.3180099547382591E-001                  5.0000000000000000E+000                  2.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.4792621714217777E+052                 -2.8479480131917008E+034                  0.0000000000000000E+000                 -2.8479480131917008E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                                     1005                  1.3311938769089948E+004                  3.5692999733504518E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  1.0785554211414596E+000                  2.1496509375946105E-001                  7.8127319306724012E-008                  9.9999999987651322E-001                  9.9999999960815888E-001                  2.1496509375946105E-001                  7.8127319306724012E-008                  9.9999999987651322E-001                  9.9999999960815888E-001                  2.7157689615512277E+000                 -3.3696901529208027E+001                 -9.8999999999999986E+001                  2.7157689615512273E+000                  1.3507792094029221E+000                  2.6966114947356172E+000                 -3.3696901529208027E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7210846400562539E+032                  1.9392250417199598E+033                  2.5127740020550644E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6662868082745822E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2337483253594117E+000                  5.5855138424150016E+002                  2.7470631324489911E+000                  4.2868807637016959E-001                  4.2796614788988121E+000                  0.0000000000000000E+000                  1.6889507249334947E+001                  1.3178574322005163E+000                  7.4346568556303589E+000                  6.1733348936485444E-001                  8.4951627915156425E-001                  1.2981049765991541E+000                  6.9903224826249033E-001                  2.8040534971344871E-001                  4.3573996693856372E-005                  9.3345570435230726E-003                  3.4468833607860785E-003                  9.3805276451495428E-003                  3.4986880614961451E+000                  1.4004026795009750E+000                                        0                                        3                  5.0000000000000000E+000                  1.3311938769089946E+004                  9.9999944604708335E-001                  8.0501439005881021E+000                  1.1636542744552180E+002                  2.9091356861380444E+002                  3.7020465115047916E+000                  2.4396170103355619E+000                 -2.7515323404050823E-001                 -3.3180750958715366E-001                  5.0000000000000000E+000                  2.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.4792618380443982E+052                 -2.8479488679815416E+034                  0.0000000000000000E+000                 -2.8479488679815416E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                                     1003                  1.7763180904907767E+004                  3.6484812193980769E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  1.0797095491874851E+000                  2.1496509375946105E-001                  7.8127319306724012E-008                  9.9999999987651322E-001                  9.9999999960971941E-001                  2.1496509375946105E-001                  7.8127319306724012E-008                  9.9999999987651322E-001                  9.9999999960971941E-001                  2.7194040690868184E+000                 -3.3684087716537178E+001                 -1.2944289813551190E+001                  2.7194040690868184E+000                  1.3509274683978254E+000                  2.7004031981180696E+000                 -3.3684087716537178E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7564478952409106E+032                  1.9437488715697162E+033                  2.5129059902904920E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6709391595823332E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2336460874251749E+000                  5.5620898937741435E+002                  2.7452380035958468E+000                  4.2797998781206975E-001                  4.2810776560150119E+000                  0.0000000000000000E+000                  1.6890298530818207E+001                  1.3183993738607820E+000                  7.4349085738367915E+000                  6.1734297124877391E-001                  8.4950630025598284E-001                  1.2981300863847127E+000                  6.9901229338904514E-001                  2.8042557693867526E-001                  4.3393947966606271E-005                  9.3322081895260839E-003                  3.4468833607860785E-003                  9.3805276451495428E-003                  3.4986641477392841E+000                  1.4004251497398870E+000                                        0                                        3                  6.0000000000000000E+000                  1.7763180904907767E+004                  9.9999926081637569E-001                  8.0501429064982872E+000                  1.1636543463034349E+002                  2.9091358657585869E+002                  3.7020460543493936E+000                  2.4396167090740626E+000                 -2.7633399669151831E-001                 -3.3181182567936296E-001                  5.0000000000000000E+000                  2.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.4792614379913995E+052                 -2.8479498937300475E+034                  0.0000000000000000E+000                 -2.8479498937300475E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                                     1003                  2.3104671467889151E+004                  3.7276624654457016E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  1.0825067901393259E+000                  2.1496509375946105E-001                  7.8127319306724012E-008                  9.9999999987651322E-001                  9.9999999961131325E-001                  2.1496509375946105E-001                  7.8127319306724012E-008                  9.9999999987651322E-001                  9.9999999961131325E-001                  2.7232957339296782E+000                 -3.3671749754633815E+001                 -9.8999999999999986E+001                  2.7232957339296782E+000                  1.3507452041300241E+000                  2.7044761687660293E+000                 -3.3671749754633815E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7956189260843948E+032                  1.9488486075060504E+033                  2.5132556423931670E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6744881330909337E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2335274655536965E+000                  5.5378091618249505E+002                  2.7433379854661815E+000                  4.2726722249019389E-001                  4.2825031866587642E+000                  0.0000000000000000E+000                  1.6890969946802517E+001                  1.3188285501572925E+000                  7.4351530853566903E+000                  6.1735456513034326E-001                  8.4949409629544503E-001                  1.2981607847194849E+000                  6.9898788847760396E-001                  2.8045034208969039E-001                  4.3343001171090556E-005                  9.3293305751184670E-003                  3.4468833607860785E-003                  9.3805276451495428E-003                  3.4986351918787713E+000                  1.4004523984887800E+000                                        0                                        3                  7.0000000000000000E+000                  2.3104671467889151E+004                  9.9999903853946004E-001                  8.0501417135900706E+000                  1.1636544325213444E+002                  2.9091360813033612E+002                  3.7020455057627157E+000                  2.4396163475601300E+000                 -2.7752059822447939E-001                 -3.3181451041743032E-001                  5.0000000000000000E+000                  2.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.4792609579275931E+052                 -2.8479511246292491E+034                  0.0000000000000000E+000                 -2.8479511246292491E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                                     1002                  2.9514460143466811E+004                  3.8068437114933267E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  1.0870995672018566E+000                  2.1496509375946105E-001                  7.8127319306724012E-008                  9.9999999987651322E-001                  9.9999999961279962E-001                  2.1496509375946105E-001                  7.8127319306724012E-008                  9.9999999987651322E-001                  9.9999999961279962E-001                  2.7269931509956788E+000                 -3.3660685667932583E+001                 -1.2643259817887209E+001                  2.7269931509956788E+000                  1.3518111479810662E+000                  2.7082897560570336E+000                 -3.3660685667932583E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8367080625090165E+032                  1.9540607588541362E+033                  2.5138822590068893E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6765984100387704E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2333878569341765E+000                  5.5129446608175351E+002                  2.7413836330339212E+000                  4.2656926351310487E-001                  4.2838991046129422E+000                  0.0000000000000000E+000                  1.6891457284300500E+001                  1.3190958901805192E+000                  7.4353751512376274E+000                  6.1736817699011171E-001                  8.4947976805197944E-001                  1.2981968254646143E+000                  6.9895923263000093E-001                  2.8047942498872369E-001                  4.3360098133839059E-005                  9.3259523035026937E-003                  3.4468833607860785E-003                  9.3805276451495428E-003                  3.4986001486571960E+000                  1.4004854163083122E+000                                        0                                        3                  8.0000000000000000E+000                  2.9514460143466815E+004                  9.9999877180706642E-001                  8.0501402820995853E+000                  1.1636545359829063E+002                  2.9091363399572657E+002                  3.7020448474584140E+000                  2.4396159137432218E+000                 -2.7868064127232900E-001                 -3.3181585512562800E-001                  5.0000000000000000E+000                  2.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.4792603818507264E+052                 -2.8479526017097366E+034                  0.0000000000000000E+000                 -2.8479526017097366E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                                     1002                  3.7206206554160010E+004                  3.8860249575409513E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  1.0928334823528387E+000                  2.1826415119728682E-001                  7.8127319306724012E-008                  9.9999999987870070E-001                  9.9999999961421071E-001                  2.1826415119728682E-001                  7.8127319306724012E-008                  9.9999999987870070E-001                  9.9999999961421071E-001                  2.7300125007435327E+000                 -3.3651582987650876E+001                 -9.8999999999999986E+001                  2.7300125007435327E+000                  1.3522362120374358E+000                  2.7114229172107960E+000                 -3.3651582987650876E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8719947170887547E+032                  1.9587233930847674E+033                  2.5144234268008562E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6770529256046331E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2332217403940220E+000                  5.4876610174599671E+002                  2.7393872763879314E+000                  4.2590331827041866E-001                  4.2852309950983143E+000                  0.0000000000000000E+000                  1.6891721685677709E+001                  1.3191771050533221E+000                  7.4355609977060615E+000                  6.1738449647640270E-001                  8.4946259021389015E-001                  1.2982400353535326E+000                  6.9892487750727139E-001                  2.8051429487499091E-001                  4.3402156545559145E-005                  9.3219035558563413E-003                  3.4468833607860785E-003                  9.3805276451495428E-003                  3.4985578026473458E+000                  1.4005253590494500E+000                                        0                                        3                  9.0000000000000000E+000                  3.7206206554160010E+004                  9.9999845172805724E-001                  8.0501385643100996E+000                  1.1636546601368821E+002                  2.9091366503422051E+002                  3.7020440574928370E+000                  2.4396153931626579E+000                 -2.7978570792454355E-001                 -3.3181608727177325E-001                  5.0000000000000000E+000                  2.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.4792596905580560E+052                 -2.8479543742083944E+034                  0.0000000000000000E+000                 -2.8479543742083944E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
