                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r22.11.1"          5.0000000000000000E+000          2.0000000000000000E+000          1.0000000000000000E+000                       "gfortran"                         "12.1.0"            "x86_64-linux-22.6.1"                       "20230126" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          1.3311938769089946E+004          9.9999944604708335E-001          8.0501439005881021E+000          1.1636542744552180E+002          2.9091356861380444E+002          3.7020465115047916E+000          2.4396170103355619E+000         -2.7515323404050823E-001         -3.3180750958715366E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          6.4792618380443982E+052         -2.8479488679815416E+034          0.0000000000000000E+000         -2.8479488679815416E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              10          4.6436302246991843E+004          9.9999806763304977E-001          8.0501365029614220E+000          1.1636548091217995E+002          2.9091370228044985E+002          3.7020431095335486E+000          2.4396147684655900E+000         -2.8080786059310242E-001         -3.3181546026391517E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          6.4792588610062323E+052         -2.8479565012097776E+034          0.0000000000000000E+000         -2.8479565012097776E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              15          1.2886031837632466E+005          9.9999463768584607E-001          8.0501180952198688E+000          1.1636561395522654E+002          2.9091403488806634E+002          3.7020346443040770E+000          2.4396091899517187E+000         -2.8350793003539165E-001         -3.3180575224129721E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          6.4792514531448439E+052         -2.8479754953064577E+034          0.0000000000000000E+000         -2.8479754953064577E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              20          3.3395764619126602E+005          9.9998610280535327E-001          8.0500722903784965E+000          1.1636594501442168E+002          2.9091486253605416E+002          3.7020135798789804E+000          2.4395953086756132E+000         -2.8335316768776703E-001         -3.3168659789752175E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          6.4792330197812777E+052         -2.8480227598252569E+034          0.0000000000000000E+000         -2.8480227598252569E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              25          8.4430542893974099E+005          9.9996486483166003E-001          8.0499583102420171E+000          1.1636676882982754E+002          2.9091692207456884E+002          3.7019611634536536E+000          2.4395607666993175E+000         -2.8162257336107283E-001         -3.3146559270105436E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          6.4791871502256171E+052         -2.8481403760584001E+034          0.0000000000000000E+000         -2.8481403760584001E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              30          2.1142140237084259E+006          9.9991201510931504E-001          8.0496746724035635E+000          1.1636881895789963E+002          2.9092204739474909E+002          3.7018307259753502E+000          2.4394748095159415E+000         -2.7555312155340572E-001         -3.3151095846805573E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          6.4790730031234980E+052         -2.8484330861444770E+034          0.0000000000000000E+000         -2.8484330861444770E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              35          5.2741529782432392E+006          9.9978049045203732E-001          8.0489687743524794E+000          1.1637392164396191E+002          2.9093480410990475E+002          3.7015061022854177E+000          2.4392608852787783E+000         -2.6047581443696188E-001         -3.3098579420220653E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          6.4787889130538135E+052         -2.8491617104746958E+034          0.0000000000000000E+000         -2.8491617104746958E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              40          1.3137092277591307E+007          9.9945310575185331E-001          8.0472115532497401E+000          1.1638662688646841E+002          2.9096656721617097E+002          3.7006980031590326E+000          2.4387283548611731E+000         -2.2640177414724419E-001         -3.2901623338327618E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          6.4780816618301042E+052         -2.8509764218451453E+034          0.0000000000000000E+000         -2.8509764218451453E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              45          2.4249501305749882E+007          9.9899013264584868E-001          8.0447262405647013E+000          1.1640460355928606E+002          2.9101150889821514E+002          3.6995550741295307E+000          2.4379751743991465E+000         -1.7684776004444705E-001         -3.2579423817009939E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          6.4770812344332499E+052         -2.8541213899468068E+034          0.0000000000000000E+000         -2.8541213899468068E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
