                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r22.11.1"          5.0000000000000000E+000          2.0000000000000000E+000          1.8262109900000003E+003                       "gfortran"                         "12.1.0"            "x86_64-linux-22.6.1"                       "20230131" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          1.3311938769089946E+004          1.8262109899999884E+003          1.2027382017930970E+003          9.5200721169151219E+000          2.3800180292287806E+001          5.5310722630391695E+002          3.6449293482325038E+002         -9.9514846974748927E-001         -9.9552766704084372E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834578062E+053         -6.9862838699105820E+026          0.0000000000000000E+000         -6.9862838699105820E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              10          4.6436302246991843E+004          1.8262109899999818E+003          1.2027382017930943E+003          9.5200721169151326E+000          2.3800180292287830E+001          5.5310722630391581E+002          3.6449293482324953E+002         -9.9518632160727027E-001         -9.9552772436593095E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834577977E+053         -6.9862838699106328E+026          0.0000000000000000E+000         -6.9862838699106328E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              15          1.2886031837632466E+005          1.8262109899999703E+003          1.2027382017930890E+003          9.5200721169151539E+000          2.3800180292287884E+001          5.5310722630391331E+002          3.6449293482324788E+002         -9.9520440460866333E-001         -9.9552766961506278E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834577807E+053         -6.9862838699107139E+026          0.0000000000000000E+000         -6.9862838699107139E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              20          3.3395764619126602E+005          1.8262109899999398E+003          1.2027382017930759E+003          9.5200721169152072E+000          2.3800180292288015E+001          5.5310722630390717E+002          3.6449293482324396E+002         -9.9520339605228869E-001         -9.9552689754800094E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834577364E+053         -6.9862838699109476E+026          0.0000000000000000E+000         -6.9862838699109476E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              25          8.4430542893974099E+005          1.8262109899998622E+003          1.2027382017930415E+003          9.5200721169153404E+000          2.3800180292288353E+001          5.5310722630389159E+002          3.6449293482323350E+002         -9.9519188105371359E-001         -9.9552548168861998E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834576242E+053         -6.9862838699115235E+026          0.0000000000000000E+000         -6.9862838699115235E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              30          2.1142140237084259E+006          1.8262109899996681E+003          1.2027382017929565E+003          9.5200721169156797E+000          2.3800180292289202E+001          5.5310722630385237E+002          3.6449293482320775E+002         -9.9515142889762576E-001         -9.9552594297048447E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834573434E+053         -6.9862838699129707E+026          0.0000000000000000E+000         -6.9862838699129707E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              35          5.2741529782432392E+006          1.8262109899991867E+003          1.2027382017927453E+003          9.5200721169165146E+000          2.3800180292291287E+001          5.5310722630375517E+002          3.6449293482314380E+002         -9.9505095367503738E-001         -9.9552282080669108E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834566475E+053         -6.9862838699165468E+026          0.0000000000000000E+000         -6.9862838699165468E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              40          1.3137092277591307E+007          1.8262109899979869E+003          1.2027382017922182E+003          9.5200721169186018E+000          2.3800180292296503E+001          5.5310722630351302E+002          3.6449293482298413E+002         -9.9482405350442937E-001         -9.9551062042370098E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834549138E+053         -6.9862838699254639E+026          0.0000000000000000E+000         -6.9862838699254639E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              45          2.4249501305750087E+007          1.8262109899962911E+003          1.2027382017914738E+003          9.5200721169215470E+000          2.3800180292303864E+001          5.5310722630317048E+002          3.6449293482275846E+002         -9.9449420130258903E-001         -9.9549045604799591E-001          5.0000000000000000E+000          2.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          7.9197096834524621E+053         -6.9862838699409052E+026          0.0000000000000000E+000         -6.9862838699409052E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
