                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.11.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20230123"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                             fe_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                tri_alpha                        v_div_csound_surf                              num_retries                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index 
                                       1                  1.7888543819998320E+003                  1.0000000000000000E+000                 -9.8999999999999986E+001                  3.2525749891599527E+000                                     3832                  8.4531384418069011E-002                  8.4454782405631867E-002                  3.9064931751463014E-008                  9.9999999996481204E-001                  9.7177887088860504E-001                  8.4454782405631867E-002                  3.9064931751463014E-008                  9.9999999996481204E-001                  9.7177887088860504E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4825984795296682E-001                 -4.6889303861100956E+001                 -9.8999999999999986E+001                 -1.4825984795296682E-001                  3.7497704948630335E+000                  7.1018479613374330E-001                 -1.4862862945188779E-001                 -5.1202143587513557E-002                  4.5404719144781600E+000                  3.4711382755223865E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1366907867891198E+000                  1.8873886569430476E+000                  1.7152745658031542E+001                  6.2135673162150162E-001                  8.4976435518245097E-001                  6.9950351708838876E-001                  2.8034614959343435E-001                  2.9983448400670580E-003                  9.3805041819512297E-003                  3.4468833607860672E-003                  9.3805276451495254E-003                  6.9990185343673439E-001                  2.8001872199355243E-001                 -2.1186960976154109E-001                 -1.0139371433697046E+000                 -4.6889303861100956E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+000                  1.7888543819998320E+003                  9.9999996081751175E-001                  7.6469490428255575E+000                  6.4480009391068748E+001                  3.2240004695534367E+002                  3.9821569683556164E+000                  1.9251004654173904E+000                 -3.2228132968083728E-001                 -5.3831638973122276E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  3.4104462265707818E+052                 -7.8904720274150420E+033                  0.0000000000000000E+000                 -7.8904720274150420E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  4.6436302246991836E+004                  1.0000000000000000E+000                 -9.8999999999999986E+001                  3.9652062035885760E+000                                      827                  8.4619125585687946E-002                  8.4454782405604223E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7176372865091343E-001                  8.4454782405604223E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7176372865091343E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4898265501082400E-001                 -4.6889908558830612E+001                 -1.5653559774527022E+001                 -1.4898265501082386E-001                  3.7495681955388886E+000                  7.0843669003030318E-001                 -1.4969895473058617E-001                 -5.1332707578573236E-002                  4.5407330424602792E+000                  3.4732259923243444E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1367477220122435E+000                  1.8874993005326441E+000                  1.7152913103879499E+001                  6.2135786897163270E-001                  8.4976316854521572E-001                  6.9950122959074101E-001                  2.8034815323069462E-001                  2.9950975412226088E-003                  9.3805039884074896E-003                  3.4468833607860733E-003                  9.3805276451495393E-003                  6.9990146249887897E-001                  2.8001894557782475E-001                 -2.1259877268585406E-001                 -1.0146196584138460E+000                 -4.6889908558830612E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+001                  4.6436302246991843E+004                  9.9999898287359601E-001                  7.6469440572996890E+000                  6.4480030410360897E+001                  3.2240015205180441E+002                  3.9821543721376398E+000                  1.9250992103236120E+000                 -3.3139701395032450E-001                 -5.3845486607275295E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  3.4104451148286632E+052                 -7.8904870316199568E+033                  0.0000000000000000E+000                 -7.8904870316199568E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      20                  3.3395764619126602E+005                  1.0000000000000000E+000                  1.0000000000000000E-099                  4.7570186640648240E+000                                      825                  8.2366798724419737E-002                  8.2250202774511449E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7165170761928221E-001                  8.2250202774511449E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7165170761928221E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5271391408478180E-001                 -4.6895739058537707E+001                 -1.5477468515471340E+001                 -1.5271391408478160E-001                  3.7493381907457972E+000                  7.0459169691055690E-001                 -1.5206247896229083E-001                 -5.2054460108242794E-002                  4.5421765475196185E+000                  3.4847894840504210E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1366370862781778E+000                  1.8874523448361502E+000                  1.7152750403907405E+001                  6.2136528893424303E-001                  8.4975549645772441E-001                  6.9948632047782922E-001                  2.8036086775937963E-001                  2.9740979756508854E-003                  9.3805027311449473E-003                  3.4468833607860742E-003                  9.3805276451495410E-003                  6.9989893996786268E-001                  2.8002036708685496E-001                 -2.1613169278149214E-001                 -1.0196103000332957E+000                 -4.6895739058537707E+001                  0.0000000000000000E+000                                        0                  2.0000000000000000E+001                  3.3395764619126602E+005                  9.9999268506151284E-001                  7.6469119512222115E+000                  6.4480165772105110E+001                  3.2240082886052551E+002                  3.9821376528631367E+000                  1.9250911276981952E+000                 -3.3376579704882342E-001                 -5.3921933474020145E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E-099                  1.0000000000000000E-099                  1.0000000000000000E-099                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  3.4104379553588673E+052                 -7.8905836573394719E+033                  0.0000000000000000E+000                 -7.8905836573394719E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      30                  2.1142140237084259E+006                  1.0000000000000000E+000                 -9.8999999999999986E+001                  5.5488311245410724E+000                                      814                  7.2196304771491443E-002                  7.0695938927432866E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7108621367530101E-001                  7.0695938927432866E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7108621367530101E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5829749672120855E-001                 -4.6930368910150705E+001                 -9.8999999999999986E+001                 -1.5829749672120869E-001                  3.7483946265410588E+000                  6.9072530610746352E-001                 -1.6069463245266077E-001                 -5.4483408443950020E-002                  4.5470344441910333E+000                  3.5239881892443656E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1359364267732301E+000                  1.8885138975107651E+000                  1.7153090274661807E+001                  6.2141301972884400E-001                  8.4970701616308031E-001                  6.9939032969812487E-001                  2.8043777141226123E-001                  2.8421125459072733E-003                  9.3804946027518776E-003                  3.4468833607860733E-003                  9.3805276451495410E-003                  6.9988338507045345E-001                  2.8002902802433166E-001                 -2.1786679305840123E-001                 -1.0505035926258550E+000                 -4.6930368910150705E+001                  0.0000000000000000E+000                                        0                  3.0000000000000000E+001                  2.1142140237084259E+006                  9.9995368938452256E-001                  7.6467131508036434E+000                  6.4481003949265514E+001                  3.2240501974632758E+002                  3.9820341273305777E+000                  1.9250410801856295E+000                 -3.2653020335405625E-001                 -5.4177731075069480E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  3.4103936236793639E+052                 -7.8911819923890679E+033                  0.0000000000000000E+000                 -7.8911819923890679E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      40                  8.7555804626761898E+006                  1.0000000000000000E+000                 -9.8999999999999986E+001                  5.8688530928596538E+000                                      809                  5.0212067444068545E-002                  4.8821344936805233E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7061906892186856E-001                  4.8821344936805233E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7061906892186856E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5846009171479292E-001                 -4.7010402107474988E+001                 -9.8999999999999986E+001                 -1.5846009171479306E-001                  3.7481373906963196E+000                  6.9199674157218349E-001                 -1.5989595051513827E-001                 -5.3569595785711195E-002                  4.5452068188745551E+000                  3.5091894810735408E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1342889780394216E+000                  1.8915663594529279E+000                  1.7154396192422016E+001                  6.2160296093118705E-001                  8.4951512455833256E-001                  6.9900782200079292E-001                  2.8074033889982425E-001                  2.3394856782343086E-003                  9.3804594159340726E-003                  3.4468833607860733E-003                  9.3805276451495410E-003                  6.9982785266471870E-001                  2.8006317722823781E-001                 -2.0484506191967297E-001                 -1.1528532023302624E+000                 -4.7010402107474988E+001                  0.0000000000000000E+000                                        0                  4.0000000000000000E+001                  8.7555804626761917E+006                  9.9980819271302823E-001                  7.6459713842562813E+000                  6.4484131654646603E+001                  3.2242065827323302E+002                  3.9816478516003579E+000                  1.9248543422961049E+000                 -2.9822485263791682E-001                 -5.4076758725931384E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  3.4102282076891853E+052                 -7.8937061113361240E+033                  0.0000000000000000E+000                 -7.8937061113361240E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      50                  1.5961708975031650E+007                  1.0000000000000000E+000                 -9.8999999999999986E+001                  5.8397060426277134E+000                                      803                  3.5974846312199965E-002                  3.3810614627647895E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7076440682314558E-001                  3.3810614627647895E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7076440682314558E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5796931764700667E-001                 -4.7037912335755848E+001                 -9.8999999999999986E+001                 -1.5796931764700675E-001                  3.7484642272553952E+000                  6.9808042157194328E-001                 -1.5609454208600620E-001                 -5.2322564689297586E-002                  4.5427127566817278E+000                  3.4890946966123411E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1336095680282137E+000                  1.8954465421437392E+000                  1.7157481187497702E+001                  6.2182073575645913E-001                  8.4929466030939083E-001                  6.9856809170667289E-001                  2.8109606845431651E-001                  1.8138785938881499E-003                  9.3804127774770544E-003                  3.4468833607860733E-003                  9.3805276451495445E-003                  6.9977029428346549E-001                  2.8010262210611292E-001                 -1.9487849417584055E-001                 -1.2469431699376980E+000                 -4.7037912335755848E+001                  0.0000000000000000E+000                                        0                  5.0000000000000000E+001                  1.5961708975031652E+007                  9.9965028367044229E-001                  7.6451662966312899E+000                  6.4487526872467981E+001                  3.2243763436233985E+002                  3.9812286013506122E+000                  1.9246516634822546E+000                 -2.6954031797375194E-001                 -5.3939855519485747E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  3.4100486618429224E+052                 -7.8966351660079465E+033                  0.0000000000000000E+000                 -7.8966351660079465E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      60                  2.2332538979372893E+007                  1.0000000000000000E+000                 -9.8999999999999986E+001                  5.7717706361303023E+000                                      798                  2.6638134471161114E-002                  9.9999999996481237E-001                  9.7101076448249857E-001                  2.4667746332242335E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7101076448249857E-001                  2.4667746332242335E-002                  3.9064904063107934E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5612856237663306E-001                 -4.7040090516962763E+001                 -1.5653559774527022E+001                 -1.5612856237663292E-001                  3.7487963855624473E+000                  7.0237402581439579E-001                 -1.5343155725863930E-001                 -5.1655388889717810E-002                  4.5413784050825683E+000                  3.4783910510179558E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1334151167553763E+000                  1.8992124801090362E+000                  1.7160946803791493E+001                  6.2202027371508084E-001                  8.4909207165882117E-001                  6.9816385802515391E-001                  2.8143236598665039E-001                  1.3892392332439897E-003                  9.3803630276494722E-003                  3.4468833607860733E-003                  9.3805276451495445E-003                  6.9972052809908425E-001                  2.8013888828592298E-001                 -1.8674218459822881E-001                 -1.3232150545381107E+000                 -4.7040090516962763E+001                  0.0000000000000000E+000                                        0                  6.0000000000000000E+001                  2.2332538979372889E+007                  9.9951064373086829E-001                  7.6444543173632846E+000                  6.4490529880351701E+001                  3.2245264940175844E+002                  3.9808578373782701E+000                  1.9244724244664682E+000                 -2.4323917954599508E-001                 -5.3864745723362950E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  3.4098898725906968E+052                 -7.8992499622089720E+033                  0.0000000000000000E+000                 -7.8992499622089720E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      70                  2.7704199379418585E+007                  1.0000000000000000E+000                 -9.8999999999999986E+001                  5.6937947178929136E+000                                      796                  1.9266141540892207E-002                  9.9999999996481237E-001                  9.7122036097796538E-001                  1.8369401807408425E-002                  3.9064904063107934E-008                  9.9999999996481237E-001                  9.7122036097796538E-001                  1.8369401807408425E-002                  3.9064904063107934E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5433754076825498E-001                 -4.7039007512445970E+001                 -9.8999999999999986E+001                 -1.5433754076825498E-001                  3.7490607713883302E+000                  7.0536572240911255E-001                 -1.5158564890765522E-001                 -5.1261206365990644E-002                  4.5405900400351138E+000                  3.4720825332256376E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1333019981498502E+000                  1.9023405200945556E+000                  1.7163869335637877E+001                  6.2219255844076959E-001                  8.4891655471546590E-001                  6.9781369847837271E-001                  2.8173213406250652E-001                  1.0711152280950698E-003                  9.3803136131587229E-003                  3.4468833607860733E-003                  9.3805276451495445E-003                  6.9967903628558992E-001                  2.8017029122626114E-001                 -1.8068031805596826E-001                 -1.3845651050500614E+000                 -4.7039007512445970E+001                  0.0000000000000000E+000                                        0                  7.0000000000000000E+001                  2.7704199379418589E+007                  9.9939287866105153E-001                  7.6438538452680778E+000                  6.4493062896019879E+001                  3.2246531448009932E+002                  3.9805451408865276E+000                  1.9243212571050177E+000                 -2.1939710238962548E-001                 -5.3819225066210696E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  3.4097559464894054E+052                 -7.9014612754602612E+033                  0.0000000000000000E+000                 -7.9014612754602612E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      80                  3.2183910169232074E+007                  1.0000000000000000E+000                 -9.8999999999999986E+001                  5.6147164832356040E+000                                      791                  1.3357536156014236E-002                  9.9999999996481248E-001                  9.7138219634937562E-001                  1.2873954493292872E-002                  3.9064904063107934E-008                  9.9999999996481248E-001                  9.7138219634937562E-001                  1.2873954493292872E-002                  3.9064904063107934E-008                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.5274705784052178E-001                 -4.7038667292535180E+001                 -9.8999999999999986E+001                 -1.5274705784052187E-001                  3.7492582818057918E+000                  7.0752613557748301E-001                 -1.5025751293803435E-001                 -5.0992159216103755E-002                  4.5400519457353408E+000                  3.4677832594585037E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.1331976781039517E+000                  1.9048235479450197E+000                  1.7166167377510465E+001                  6.2234022223207408E-001                  8.4876574863368437E-001                  6.9751275698382731E-001                  2.8199552799097105E-001                  8.3372128696313050E-004                  9.3802649433756321E-003                  3.4468833607860746E-003                  9.3805276451495445E-003                  6.9964465815869248E-001                  2.8019697376697744E-001                 -1.7613273238579846E-001                 -1.4332218371246002E+000                 -4.7038667292535180E+001                  0.0000000000000000E+000                                        0                  8.0000000000000000E+001                  3.2183910169232074E+007                  9.9929465024700004E-001                  7.6433529705491274E+000                  6.4495176001072380E+001                  3.2247588000536194E+002                  3.9802843098359784E+000                  1.9241951631361460E+000                 -1.9789018636735223E-001                 -5.3787578893261234E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  3.4096442300329955E+052                 -7.9033069153668885E+033                  0.0000000000000000E+000                 -7.9033069153668885E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
