                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r22.11.1"          5.0000000000000000E+000          1.0000000000000000E+000          1.0000000000000000E+000                       "gfortran"                         "12.1.0"            "x86_64-linux-22.6.1"                       "20230125" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          1.3311938769089946E+004          9.9999970841956110E-001          7.6469477561092756E+000          6.4480014815943946E+001          3.2240007407971973E+002          3.9821562982967245E+000          1.9251001414897559E+000         -3.2613984979855359E-001         -5.3836235210722927E-001          5.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          3.4104459396408672E+052         -7.8904758998529395E+033          0.0000000000000000E+000         -7.8904758998529395E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              10          4.6436302246991843E+004          9.9999898287359601E-001          7.6469440572996890E+000          6.4480030410360897E+001          3.2240015205180441E+002          3.9821543721376398E+000          1.9250992103236120E+000         -3.3139701395032450E-001         -5.3845486607275295E-001          5.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          3.4104451148286632E+052         -7.8904870316199568E+033          0.0000000000000000E+000         -7.8904870316199568E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              15          1.2886031837632466E+005          9.9999717747973660E-001          7.6469348534569956E+000          6.4480069214397375E+001          3.2240034607198692E+002          3.9821495792266228E+000          1.9250968932790289E+000         -3.3390787749031231E-001         -5.3868114291918034E-001          5.0000000000000000E+000          1.0000000000000000E+000          1.0000000000000000E-099          1.0000000000000000E-099          1.0000000000000000E-099         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          3.4104430624264514E+052         -7.8905147311582863E+033          0.0000000000000000E+000         -7.8905147311582863E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              20          3.3395764619126602E+005          9.9999268506151284E-001          7.6469119512222115E+000          6.4480165772105110E+001          3.2240082886052551E+002          3.9821376528631367E+000          1.9250911276981952E+000         -3.3376579704882342E-001         -5.3921933474020145E-001          5.0000000000000000E+000          1.0000000000000000E+000          1.0000000000000000E-099          1.0000000000000000E-099          1.0000000000000000E-099         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          3.4104379553588673E+052         -7.8905836573394719E+033          0.0000000000000000E+000         -7.8905836573394719E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              25          8.4430542893974099E+005          9.9998150635999195E-001          7.6468549623349915E+000          6.4480406043829035E+001          3.2240203021914510E+002          3.9821079758386020E+000          1.9250767808871081E+000         -3.3216142047001285E-001         -5.4032449590368270E-001          5.0000000000000000E+000          1.0000000000000000E+000          1.0000000000000000E-099          1.0000000000000000E-099          1.0000000000000000E-099         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          3.4104252471292343E+052         -7.8907551730967152E+033          0.0000000000000000E+000         -7.8907551730967152E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              30          2.1142140237084259E+006          9.9995368938452256E-001          7.6467131508036434E+000          6.4481003949265514E+001          3.2240501974632758E+002          3.9820341273305777E+000          1.9250410801856295E+000         -3.2653020335405625E-001         -5.4177731075069480E-001          5.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          3.4103936236793639E+052         -7.8911819923890679E+033          0.0000000000000000E+000         -7.8911819923890679E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              35          5.2741529782432392E+006          9.9988446696281597E-001          7.6463602477206756E+000          6.4482491930592303E+001          3.2241245965296150E+002          3.9818503526691909E+000          1.9249522377093078E+000         -3.1254240034051411E-001         -5.4173776945781049E-001          5.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          3.4103149263170704E+052         -7.8922442610008905E+033          0.0000000000000000E+000         -7.8922442610008905E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              40          1.3137092277591307E+007          9.9971218916821913E-001          7.6454819223044241E+000          6.4486195751071406E+001          3.2243097875535699E+002          3.9813929637605914E+000          1.9247311214630580E+000         -2.8094176191124337E-001         -5.3992898915464860E-001          5.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          3.4101190519269450E+052         -7.8948887991216379E+033          0.0000000000000000E+000         -7.8948887991216379E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              45          2.4249501305749882E+007          9.9946863432160238E-001          7.6442401183705622E+000          6.4491433417495927E+001          3.2245716708747960E+002          3.9807462930215998E+000          1.9244185004010306E+000         -2.3499343541506859E-001         -5.3857272031025871E-001          5.0000000000000000E+000          1.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          3.4098420993905309E+052         -7.8994679383189887E+033          0.0000000000000000E+000         -7.8994679383189887E+033          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
