                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.11.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20230126"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index 
                                       1                                     2493                  1.7888543819998320E+003                  3.2525749891599527E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  2.8691247499592881E-001                  1.4336294906072616E-001                  7.8132229093745224E-008                  9.9999999943620121E-001                  9.9999999838683951E-001                  1.4336294906072616E-001                  7.8132229093745224E-008                  9.9999999943620121E-001                  9.9999999838683951E-001                  1.2074571200655224E+000                 -3.7780885779225024E+001                 -9.8999999999999986E+001                  1.2074571200655224E+000                  9.1801621649147758E-001                  8.9452028034594677E-001                 -3.7780885779225024E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8407986163258904E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9573165533709980E+000                  1.6160390550049133E+001                  1.2084518522109491E+000                  2.1224598022797581E-001                  4.3146056625111626E+000                  0.0000000000000000E+000                  1.7259896306949315E+001                  1.8066436591064781E+000                  7.3257961191472001E+000                  6.2264920749085007E-001                  8.4794008485444750E-001                  1.3020983074992325E+000                  6.9587834847834695E-001                  2.8356468883856578E-001                  2.9810893851954189E-005                  9.2364229541256893E-003                  3.4468833607860724E-003                  9.3805276451495341E-003                  1.3982696807747867E+000                  5.6131534893974422E-001                                        0                                        2                  1.0000000000000000E+000                  1.7888543819998320E+003                  9.9999992555998973E-001                  8.0501464740212541E+000                  1.1636540884594265E+002                  2.9091352211485668E+002                  3.7020476949580736E+000                  2.4396177902211602E+000                 -2.7100287517318961E-001                 -3.3177273989282935E-001                  5.0000000000000000E+000                  2.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.4792628736746974E+052                 -2.8479462125944510E+034                  0.0000000000000000E+000                 -2.8479462125944510E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                                     1569                  3.9354796403996302E+003                  3.3317562352075774E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  2.8878441179625453E-001                  1.4376394470874865E-001                  7.8132227816988746E-008                  9.9999999943620121E-001                  9.9999999839993614E-001                  1.4376394470874865E-001                  7.8132227816988746E-008                  9.9999999943620121E-001                  9.9999999839993614E-001                  1.2069617064548377E+000                 -3.7781252303239164E+001                 -9.8999999999999986E+001                  1.2069617064548377E+000                  9.1710696880096265E-001                  8.9446127911690787E-001                 -3.7781252303239164E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8524001738743953E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9573101103286614E+000                  1.6159003260706370E+001                  1.2084145685842658E+000                  2.1224022449930782E-001                  4.3146171739684984E+000                  0.0000000000000000E+000                  1.7260045437552328E+001                  1.8067410016253176E+000                  7.3258460988774683E+000                  6.2264730430817694E-001                  8.4793960368528476E-001                  1.3020995230128640E+000                  6.9587739277917793E-001                  2.8356567050405868E-001                  2.9814584703878515E-005                  9.2363794844440815E-003                  3.4468833607860720E-003                  9.3805276451495358E-003                  1.3982693311745722E+000                  5.6131568026106815E-001                                        0                                        2                  2.0000000000000000E+000                  3.9354796403996297E+003                  9.9999983623197730E-001                  8.0501459946188216E+000                  1.1636541231084003E+002                  2.9091353077710005E+002                  3.7020474744936793E+000                  2.4396176449370084E+000                 -2.7192438944726044E-001                 -3.3178155609304177E-001                  5.0000000000000000E+000                  2.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.4792626807481195E+052                 -2.8479467072637900E+034                  0.0000000000000000E+000                 -2.8479467072637900E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                                     1138                  6.5114299504793880E+003                  3.4109374812552025E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  2.8856226753655118E-001                  1.4376394470874909E-001                  7.8132228261077955E-008                  9.9999999943620121E-001                  9.9999999839993203E-001                  1.4376394470874909E-001                  7.8132228261077955E-008                  9.9999999943620121E-001                  9.9999999839993203E-001                  1.2064784145646184E+000                 -3.7781190588340216E+001                 -9.8999999999999986E+001                  1.2064784145646184E+000                  9.1617766656693933E-001                  8.9444737623864379E-001                 -3.7781190588340216E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8786494722620840E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9573037785916694E+000                  1.6157542808568639E+001                  1.2083753152368584E+000                  2.1223326129958678E-001                  4.3146311003679401E+000                  0.0000000000000000E+000                  1.7260093983300692E+001                  1.8067815489056702E+000                  7.3258541187046458E+000                  6.2264747842420720E-001                  8.4793902447141689E-001                  1.3021009869743616E+000                  6.9587624144143290E-001                  2.8356685038626839E-001                  2.9818938315599717E-005                  9.2363270933260404E-003                  3.4468833607860720E-003                  9.3805276451495358E-003                  1.3982689114674769E+000                  5.6131607705073794E-001                                        0                                        2                  3.0000000000000000E+000                  6.5114299504793871E+003                  9.9999972903834722E-001                  8.0501454193358022E+000                  1.1636541646871798E+002                  2.9091354117179492E+002                  3.7020472099363584E+000                  2.4396174705959961E+000                 -2.7293104374036198E-001                 -3.3179222204218739E-001                  5.0000000000000000E+000                  2.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.4792624492361775E+052                 -2.8479473008672339E+034                  0.0000000000000000E+000                 -2.8479473008672339E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                                      986                  9.6025703225750967E+003                  3.4901187273028271E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  2.8809850943910015E-001                  1.4376394470874887E-001                  7.8132228039033350E-008                  9.9999999943620121E-001                  9.9999999839993992E-001                  1.4376394470874887E-001                  7.8132228039033350E-008                  9.9999999943620121E-001                  9.9999999839993992E-001                  1.2060888600395163E+000                 -3.7781018037805886E+001                 -1.4449439791871097E+001                  1.2060888600395165E+000                  9.1533424815710163E-001                  8.9453446190717689E-001                 -3.7781018037805886E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8760926434708836E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9572967104724692E+000                  1.6156063959271759E+001                  1.2083355638037074E+000                  2.1222752182141194E-001                  4.3146425793242900E+000                  0.0000000000000000E+000                  1.7260121127747411E+001                  1.8068062096634425E+000                  7.3258569287017945E+000                  6.2264801038559736E-001                  8.4793832960264415E-001                  1.3021027445537239E+000                  6.9587485870640664E-001                  2.8356826280452790E-001                  2.9823833025479968E-005                  9.2362642142057912E-003                  3.4468833607860720E-003                  9.3805276451495358E-003                  1.3982684075440097E+000                  5.6131655238163181E-001                                        0                                        2                  4.0000000000000000E+000                  9.6025703225750949E+003                  9.9999960040596891E-001                  8.0501447289960346E+000                  1.1636542145817319E+002                  2.9091355364543296E+002                  3.7020468924675090E+000                  2.4396172613867368E+000                 -2.7401054705172445E-001                 -3.3180099547382591E-001                  5.0000000000000000E+000                  2.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.4792621714217777E+052                 -2.8479480131917008E+034                  0.0000000000000000E+000                 -2.8479480131917008E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                                      964                  1.3311938769089948E+004                  3.5692999733504518E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  2.8803036140891547E-001                  1.4376394470874887E-001                  7.8132228039033350E-008                  9.9999999943620121E-001                  9.9999999839992826E-001                  1.4376394470874887E-001                  7.8132228039033350E-008                  9.9999999943620121E-001                  9.9999999839992826E-001                  1.2057399238045465E+000                 -3.7780882210113397E+001                 -9.8999999999999986E+001                  1.2057399238045465E+000                  9.1456667172403261E-001                  8.9462427050965421E-001                 -3.7780882210113397E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8736124919371155E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9572907867670373E+000                  1.6154864209676923E+001                  1.2083033118902855E+000                  2.1222324327556469E-001                  4.3146511364159847E+000                  0.0000000000000000E+000                  1.7260150066119778E+001                  1.8068337289231444E+000                  7.3258588028816138E+000                  6.2264872023271078E-001                  8.4793749598244228E-001                  1.3021048545828846E+000                  6.9587319814480897E-001                  2.8356995373927302E-001                  2.9829255692927374E-005                  9.2361887505838618E-003                  3.4468833607860720E-003                  9.3805276451495358E-003                  1.3982678025416100E+000                  5.6131712188813965E-001                                        0                                        2                  5.0000000000000000E+000                  1.3311938769089946E+004                  9.9999944604708335E-001                  8.0501439005881021E+000                  1.1636542744552180E+002                  2.9091356861380444E+002                  3.7020465115047916E+000                  2.4396170103355619E+000                 -2.7515323404050823E-001                 -3.3180750958715366E-001                  5.0000000000000000E+000                  2.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.4792618380443982E+052                 -2.8479488679815416E+034                  0.0000000000000000E+000                 -2.8479488679815416E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                                      964                  1.7763180904907767E+004                  3.6484812193980769E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  2.8774210039881820E-001                  1.4376394470874887E-001                  7.8132228039033350E-008                  9.9999999943620121E-001                  9.9999999839991316E-001                  1.4376394470874887E-001                  7.8132228039033350E-008                  9.9999999943620121E-001                  9.9999999839991316E-001                  1.2054098018310397E+000                 -3.7780923368467626E+001                 -9.8999999999999986E+001                  1.2054098018310397E+000                  9.1391217535558988E-001                  8.9463350576089684E-001                 -3.7780923368467626E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8711077434252034E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9572870152304471E+000                  1.6154090363997032E+001                  1.2082825079420849E+000                  2.1222038437464544E-001                  4.3146568542178230E+000                  0.0000000000000000E+000                  1.7260175096715241E+001                  1.8068615548547067E+000                  7.3258567351980073E+000                  6.2264977704984714E-001                  8.4793649598828202E-001                  1.3021073874076450E+000                  6.9587120425327798E-001                  2.8357197821838331E-001                  2.9835127035761340E-005                  9.2360982013489478E-003                  3.4468833607860720E-003                  9.3805276451495358E-003                  1.3982670763069835E+000                  5.6131780434258693E-001                                        0                                        2                  6.0000000000000000E+000                  1.7763180904907767E+004                  9.9999926081637569E-001                  8.0501429064982872E+000                  1.1636543463034349E+002                  2.9091358657585869E+002                  3.7020460543493936E+000                  2.4396167090740626E+000                 -2.7633399669151831E-001                 -3.3181182567936296E-001                  5.0000000000000000E+000                  2.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.4792614379913995E+052                 -2.8479498937300475E+034                  0.0000000000000000E+000                 -2.8479498937300475E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                                      964                  2.3104671467889151E+004                  3.7276624654457016E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  2.8728198618389011E-001                  1.4296195341270135E-001                  7.8132228039033350E-008                  9.9999999943620121E-001                  9.9999999839990483E-001                  1.4296195341270135E-001                  7.8132228039033350E-008                  9.9999999943620121E-001                  9.9999999839990483E-001                  1.2051227749591416E+000                 -3.7780955140977639E+001                 -9.8999999999999986E+001                  1.2051227749591416E+000                  9.1333571546329817E-001                  8.9464884342146245E-001                 -3.7780955140977639E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8686350530591227E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9572858871663401E+000                  1.6153787928102897E+001                  1.2082743770311801E+000                  2.1221857504740757E-001                  4.3146604728722986E+000                  0.0000000000000000E+000                  1.7260206920361661E+001                  1.8068963842567056E+000                  7.3258545910976274E+000                  6.2265103441821923E-001                  8.4793529122605427E-001                  1.3021104400117680E+000                  6.9586880077513946E-001                  2.8357441460247729E-001                  2.9841804843275340E-005                  9.2359889690662861E-003                  3.4468833607860720E-003                  9.3805276451495358E-003                  1.3982662045798782E+000                  5.6131862228415286E-001                                        0                                        2                  7.0000000000000000E+000                  2.3104671467889151E+004                  9.9999903853946004E-001                  8.0501417135900706E+000                  1.1636544325213444E+002                  2.9091360813033612E+002                  3.7020455057627157E+000                  2.4396163475601300E+000                 -2.7752059822447939E-001                 -3.3181451041743032E-001                  5.0000000000000000E+000                  2.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.4792609579275931E+052                 -2.8479511246292491E+034                  0.0000000000000000E+000                 -2.8479511246292491E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                                      964                  2.9514460143466811E+004                  3.8068437114933267E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  2.8669016663971497E-001                  1.4296195341270135E-001                  7.8132228039033350E-008                  9.9999999943620121E-001                  9.9999999839991194E-001                  1.4296195341270135E-001                  7.8132228039033350E-008                  9.9999999943620121E-001                  9.9999999839991194E-001                  1.2049528151669826E+000                 -3.7780971696888606E+001                 -9.8999999999999986E+001                  1.2049528151669824E+000                  9.1298380551007330E-001                  8.9466875234234478E-001                 -3.7780971696888606E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8666045240815314E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9572870504861761E+000                  1.6153890246022474E+001                  1.2082771278390614E+000                  2.1221762381167542E-001                  4.3146623753437634E+000                  0.0000000000000000E+000                  1.7260246174456064E+001                  1.8069387713549696E+000                  7.3258524733692116E+000                  6.2265252237792601E-001                  8.4793384587454768E-001                  1.3021141042291726E+000                  6.9586591506101847E-001                  2.8357733282532077E-001                  2.9848754782494656E-005                  9.2358578992815660E-003                  3.4468833607860720E-003                  9.3805276451495358E-003                  1.3982651583307140E+000                  5.6131960308288542E-001                                        0                                        2                  8.0000000000000000E+000                  2.9514460143466815E+004                  9.9999877180706642E-001                  8.0501402820995853E+000                  1.1636545359829063E+002                  2.9091363399572657E+002                  3.7020448474584140E+000                  2.4396159137432218E+000                 -2.7868064127232900E-001                 -3.3181585512562800E-001                  5.0000000000000000E+000                  2.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.4792603818507264E+052                 -2.8479526017097366E+034                  0.0000000000000000E+000                 -2.8479526017097366E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                                      963                  3.7206206554160010E+004                  3.8860249575409513E+000                  2.0000000000000000E+000                  3.3599535906024649E+001                 -9.8999999999999986E+001                  2.8600445019810933E-001                  1.4296195341270135E-001                  7.8132228039033350E-008                  9.9999999943620121E-001                  9.9999999839993303E-001                  1.4296195341270135E-001                  7.8132228039033350E-008                  9.9999999943620121E-001                  9.9999999839993303E-001                  1.2049073185098560E+000                 -3.7780968893388717E+001                 -1.4148409796207115E+001                  1.2049073185098562E+000                  9.1287163720001574E-001                  8.9469278823787601E-001                 -3.7780968893388717E+001                  0.0000000000000000E+000                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  2.8650442509442550E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.9572901865927421E+000                  1.6154338732370150E+001                  1.2082891851478137E+000                  2.1221738025292050E-001                  4.3146628624612733E+000                  0.0000000000000000E+000                  1.7260293292183036E+001                  1.8069891096903266E+000                  7.3258504508038529E+000                  6.2265428404743872E-001                  8.4793211174000571E-001                  1.3021185024697559E+000                  6.9586245066387342E-001                  2.8358082967572001E-001                  2.9855823388995709E-005                  9.2357006245887014E-003                  3.4468833607860720E-003                  9.3805276451495358E-003                  1.3982639027742276E+000                  5.6132077977185768E-001                                        0                                        2                  9.0000000000000000E+000                  3.7206206554160010E+004                  9.9999845172805724E-001                  8.0501385643100996E+000                  1.1636546601368821E+002                  2.9091366503422051E+002                  3.7020440574928370E+000                  2.4396153931626579E+000                 -2.7978570792454355E-001                 -3.3181608727177325E-001                  5.0000000000000000E+000                  2.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.4792596905580560E+052                 -2.8479543742083944E+034                  0.0000000000000000E+000                 -2.8479543742083944E+034                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
