                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                    4450                                     1603                  2.0000000000000000E+000                  2.0000000000000000E-002                  1.0692407537594703E+009                  1.0977053117800344E+003                  3.7476679769421789E+003                  1.1600201564878598E+003                  8.0791135687851963E+001                  1.7120880394415146E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.8051556637752557E-001                  1.1019423879993868E-004                  1.2412139049921018E-002                  7.9985399965437122E-004                  2.0850245047849109E-003                  2.0000000000000000E+000                  0.0000000000000000E+000                  1.1036603696794529E+000                  4.7275168952951339E-004                  8.5578270117031341E-001                  3.6896142768626590E-003                  8.9083387267089656E-003                  1.5161731942721027E-002                  4.1700488558954994E-003                  4.0316057309591413E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1391066222264944E+006                  1.0051055032321430E+003                  1.7241079724470556E+007                  1.1489868860557190E+003                  1.1489858586643618E+003                  1.0112535463371198E-003                  7.8522503650521784E+001                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.3742672010839860E+016                               "r22.11.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20230126"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                tri_alpha 
                                       1                  2.0000000000000000E+000                  1.9073637130884771E+000                  3.5737611092355674E+000                 -8.3051746690117483E+000                  3.0722510898915090E+000                  6.9999999994092366E-001                  2.8000000005907638E-001                  2.0000000000000018E-002                  7.2629315604389186E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  1.9999999999985001E+000                  1.9073637129712611E+000                  3.5737611157370779E+000                 -8.3051746235458044E+000                  3.0722511418926333E+000                  6.9999999994091688E-001                  2.8000000005908321E-001                  1.9999999999999907E-002                  7.2629323208410096E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  1.9999999999932794E+000                  1.9073637125632936E+000                  3.5737611274458452E+000                 -8.3051745416648437E+000                  3.0722512355429981E+000                  6.9999999994090789E-001                  2.8000000005909242E-001                  1.9999999999999685E-002                  7.2629336902718644E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  1.9999999999863964E+000                  1.9073637120254394E+000                  3.5737611407625161E+000                 -8.3051744485396490E+000                  3.0722513420538302E+000                  6.9999999994089901E-001                  2.8000000005910114E-001                  1.9999999999999796E-002                  7.2629352477590313E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  1.9999999999795142E+000                  1.9073637114875870E+000                  3.5737611591825309E+000                 -8.3051743197262002E+000                  3.0722514893826904E+000                  6.9999999994088880E-001                  2.8000000005911124E-001                  2.0000000000000018E-002                  7.2629374021206409E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  1.9999999999673559E+000                  1.9073637105374914E+000                  3.5737611827058950E+000                 -8.3051741552245471E+000                  3.0722516775295334E+000                  6.9999999994087514E-001                  2.8000000005912490E-001                  2.0000000000000018E-002                  7.2629401533564123E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  1.9999999999551976E+000                  1.9073637095873974E+000                  3.5737612140231603E+000                 -8.3051739362194290E+000                  3.0722519280140665E+000                  6.9999999994076190E-001                  2.8000000005923831E-001                  1.9999999999999796E-002                  7.2629438161442256E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  1.9999999999349825E+000                  1.9073637080077241E+000                  3.5737612531343452E+000                 -8.3051736627110202E+000                  3.0722522408361801E+000                  6.9999999994065276E-001                  2.8000000005934733E-001                  1.9999999999999907E-002                  7.2629483904847704E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  1.9999999999147675E+000                  1.9073637064280493E+000                  3.5737613102660033E+000                 -8.3051732631841997E+000                  3.0722526977903053E+000                  6.9999999994006223E-001                  2.8000000005993791E-001                  1.9999999999999796E-002                  7.2629550724390958E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
