                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r22.11.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20230201"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index 
                                       1                                     2477                  1.7888543819998320E+003                  3.2525749891599527E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  1.1387561605926662E+000                  2.2774740499228169E-001                  7.8127319473257466E-008                  9.9999999987213828E-001                  9.9999999960823172E-001                  2.2774740499228169E-001                  7.8127319473257466E-008                  9.9999999987213828E-001                  9.9999999960823172E-001                  2.7167421261751916E+000                 -3.3740808895779537E+001                 -9.8999999999999986E+001                  2.7167421261751912E+000                  1.3591568679923356E+000                  2.6972477298427782E+000                 -3.3740808895779537E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6390061807348301E+032                  1.9279947541757562E+033                  2.5003172466097874E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6333135254418388E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2341364879682519E+000                  5.6698984468633637E+002                  2.7535752803458462E+000                  4.3116782510091545E-001                  4.2747019814373211E+000                  0.0000000000000000E+000                  1.6886413587014463E+001                  1.3156440189684002E+000                  7.4337690769240758E+000                  6.1730886958764519E-001                  8.4954213085397345E-001                  1.2980396787063073E+000                  6.9908392884051263E-001                  2.8035354668801510E-001                  4.7754126439577562E-005                  9.3405622940266348E-003                  3.4468833607860781E-003                  9.3805276451495410E-003                  3.4987491934782371E+000                  1.4003458688943555E+000                                        0                                        4                  1.0000000000000000E+000                  1.7888543819998320E+003                  3.6499999999999443E+002                  3.9055612262683735E+002                  9.0225119282192843E+000                  4.5112559641096418E+001                  2.0338252243377607E+002                  9.8321535717037150E+001                 -9.8673051109160614E-001                 -9.9096040021626719E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.4372991298490902E+053                 -8.2874254393247233E+027                  0.0000000000000000E+000                 -8.2874254393247233E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                                     1552                  3.9354796403996302E+003                  3.3317562352075774E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  1.0154777331235092E+000                  2.0259721182561641E-001                  7.8127319972857827E-008                  9.9999999987213828E-001                  9.9999999960423291E-001                  2.0259721182561641E-001                  7.8127319972857827E-008                  9.9999999987213828E-001                  9.9999999960423291E-001                  2.7127879234740995E+000                 -3.3731867394255822E+001                 -9.8999999999999986E+001                  2.7127879234740995E+000                  1.3539725778028786E+000                  2.6933499171353046E+000                 -3.3731867394255822E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6293015732818422E+032                  1.9244928036450042E+033                  2.5021438134574940E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6422614133127294E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2340175553763570E+000                  5.6493805902982820E+002                  2.7520008334898538E+000                  4.3061846685671035E-001                  4.2758006979257308E+000                  0.0000000000000000E+000                  1.6887071872409731E+001                  1.3161031105128149E+000                  7.4339688306858376E+000                  6.1731373929060629E-001                  8.4953703364303024E-001                  1.2980526217938380E+000                  6.9907374387925114E-001                  2.8036359755405110E-001                  4.5906163874587366E-005                  9.3393981527637032E-003                  3.4468833607860798E-003                  9.3805276451495428E-003                  3.4987378139178009E+000                  1.4003562799209637E+000                                        0                                        3                  2.0000000000000000E+000                  3.9354796403996297E+003                  3.6499999999999187E+002                  3.9055612262683547E+002                  9.0225119282193056E+000                  4.5112559641096517E+001                  2.0338252243377508E+002                  9.8321535717036653E+001                 -9.8674728564169056E-001                 -9.9096069116362795E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.4372991298490847E+053                 -8.2874254393248322E+027                  0.0000000000000000E+000                 -8.2874254393248322E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                                     1120                  6.5114299504793880E+003                  3.4109374812552025E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  1.0729031596268972E+000                  2.1331556941763041E-001                  7.8127319528768617E-008                  9.9999999987651322E-001                  9.9999999960536856E-001                  2.1331556941763041E-001                  7.8127319528768617E-008                  9.9999999987651322E-001                  9.9999999960536856E-001                  2.7119599913131953E+000                 -3.3721305265337335E+001                 -9.8999999999999986E+001                  2.7119599913131949E+000                  1.3531533439271763E+000                  2.6925215868114440E+000                 -3.3721305265337335E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6875674103559892E+032                  1.9271001299443901E+033                  2.5052221915090030E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6554482973599635E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2339226661132461E+000                  5.6288471033055373E+002                  2.7504194520546696E+000                  4.3001755466533964E-001                  4.2770025223084724E+000                  0.0000000000000000E+000                  1.6887838520065699E+001                  1.3166592241505475E+000                  7.4341811926923311E+000                  6.1731899993354666E-001                  8.4953151449401421E-001                  1.2980665824052942E+000                  6.9906270940901272E-001                  2.8037460901705907E-001                  4.4743011834683673E-005                  9.3381232082637589E-003                  3.4468833607860798E-003                  9.3805276451495428E-003                  3.4987241981448518E+000                  1.4003688837731689E+000                                        0                                        3                  3.0000000000000000E+000                  6.5114299504793871E+003                  3.6499999999998886E+002                  3.9055612262683331E+002                  9.0225119282193305E+000                  4.5112559641096645E+001                  2.0338252243377397E+002                  9.8321535717036141E+001                 -9.8676561009892805E-001                 -9.9096087014849066E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.4372991298490779E+053                 -8.2874254393249696E+027                  0.0000000000000000E+000                 -8.2874254393249696E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                                     1008                  9.6025703225750967E+003                  3.4901187273028271E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  1.0780291583865116E+000                  2.1496509375946105E-001                  7.8127319306724012E-008                  9.9999999987651322E-001                  9.9999999960669295E-001                  2.1496509375946105E-001                  7.8127319306724012E-008                  9.9999999987651322E-001                  9.9999999960669295E-001                  2.7130860872919880E+000                 -3.3709500396510464E+001                 -1.2643259817887209E+001                  2.7130860872919884E+000                  1.3516815013312207E+000                  2.6937662331939531E+000                 -3.3709500396510464E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6961528906419825E+032                  1.9361779049190573E+033                  2.5127850425265870E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6609101594487058E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2338380683999324E+000                  5.6077727465413011E+002                  2.7487904056499586E+000                  4.2937222688961135E-001                  4.2782931778599291E+000                  0.0000000000000000E+000                  1.6888664036238396E+001                  1.3172575322310482E+000                  7.4344109138278718E+000                  6.1732554854447641E-001                  8.4952463238757747E-001                  1.2980839411582628E+000                  6.9904895028191905E-001                  2.8038845813133623E-001                  4.3987083072991951E-005                  9.3365174645004580E-003                  3.4468833607860785E-003                  9.3805276451495428E-003                  3.4987078255687321E+000                  1.4003841572702700E+000                                        0                                        3                  4.0000000000000000E+000                  9.6025703225750949E+003                  3.6499999999998516E+002                  3.9055612262683070E+002                  9.0225119282193607E+000                  4.5112559641096809E+001                  2.0338252243377261E+002                  9.8321535717035474E+001                 -9.8678526076828244E-001                 -9.9096107027899849E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.4372991298490698E+053                 -8.2874254393251323E+027                  0.0000000000000000E+000                 -8.2874254393251323E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                                     1005                  1.3311938769089948E+004                  3.5692999733504518E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  1.0785554211423045E+000                  2.1496509375946105E-001                  7.8127319306724012E-008                  9.9999999987651322E-001                  9.9999999960815888E-001                  2.1496509375946105E-001                  7.8127319306724012E-008                  9.9999999987651322E-001                  9.9999999960815888E-001                  2.7157689615517997E+000                 -3.3696901529207750E+001                 -9.8999999999999986E+001                  2.7157689615517997E+000                  1.3507792094033160E+000                  2.6966114947361972E+000                 -3.3696901529207750E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7210846400616950E+032                  1.9392250417205334E+033                  2.5127740020549515E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6662868082756389E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2337483253594170E+000                  5.5855138424146560E+002                  2.7470631324489641E+000                  4.2868807637014500E-001                  4.2796614788988618E+000                  0.0000000000000000E+000                  1.6889507249335178E+001                  1.3178574322006675E+000                  7.4346568556303358E+000                  6.1733348936485444E-001                  8.4951627915156425E-001                  1.2981049765991541E+000                  6.9903224826249033E-001                  2.8040534971344871E-001                  4.3573996693856562E-005                  9.3345570435230726E-003                  3.4468833607860798E-003                  9.3805276451495428E-003                  3.4986880614961451E+000                  1.4004026795009745E+000                                        0                                        3                  5.0000000000000000E+000                  1.3311938769089946E+004                  3.6499999999998084E+002                  3.9055612262682763E+002                  9.0225119282193962E+000                  4.5112559641096972E+001                  2.0338252243377102E+002                  9.8321535717034706E+001                 -9.8680606175405483E-001                 -9.9096130166403229E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.4372991298490600E+053                 -8.2874254393253236E+027                  0.0000000000000000E+000                 -8.2874254393253236E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                                     1003                  1.7763180904907767E+004                  3.6484812193980769E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  1.0797095491812054E+000                  2.1496509375946105E-001                  7.8127319306724012E-008                  9.9999999987651322E-001                  9.9999999960971941E-001                  2.1496509375946105E-001                  7.8127319306724012E-008                  9.9999999987651322E-001                  9.9999999960971941E-001                  2.7194040690865271E+000                 -3.3684087716537441E+001                 -9.8999999999999986E+001                  2.7194040690865271E+000                  1.3509274683975407E+000                  2.7004031981177778E+000                 -3.3684087716537441E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7564478952276621E+032                  1.9437488715685088E+033                  2.5129059902906301E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6709391595815550E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2336460874251616E+000                  5.5620898937730465E+002                  2.7452380035957615E+000                  4.2797998781205432E-001                  4.2810776560150430E+000                  0.0000000000000000E+000                  1.6890298530818306E+001                  1.3183993738608020E+000                  7.4349085738368057E+000                  6.1734297124877391E-001                  8.4950630025598284E-001                  1.2981300863847127E+000                  6.9901229338904514E-001                  2.8042557693867526E-001                  4.3393947966606115E-005                  9.3322081895260839E-003                  3.4468833607860785E-003                  9.3805276451495428E-003                  3.4986641477392841E+000                  1.4004251497398870E+000                                        0                                        3                  6.0000000000000000E+000                  1.7763180904907767E+004                  3.6499999999997567E+002                  3.9055612262682394E+002                  9.0225119282194388E+000                  4.5112559641097185E+001                  2.0338252243376911E+002                  9.8321535717033754E+001                 -9.8682755607435590E-001                 -9.9096155060039015E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.4372991298490485E+053                 -8.2874254393255534E+027                  0.0000000000000000E+000                 -8.2874254393255534E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                                     1003                  2.3104671467889151E+004                  3.7276624654457016E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  1.0825067901340755E+000                  2.1496509375946105E-001                  7.8127319306724012E-008                  9.9999999987651322E-001                  9.9999999961131325E-001                  2.1496509375946105E-001                  7.8127319306724012E-008                  9.9999999987651322E-001                  9.9999999961131325E-001                  2.7232957339295365E+000                 -3.3671749754636515E+001                 -1.2643259817887209E+001                  2.7232957339295369E+000                  1.3507452041299839E+000                  2.7044761687658831E+000                 -3.3671749754636515E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.7956189260950140E+032                  1.9488486075061833E+033                  2.5132556423931699E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6744881330909308E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2335274655536885E+000                  5.5378091618242865E+002                  2.7433379854661295E+000                  4.2726722249018312E-001                  4.2825031866587855E+000                  0.0000000000000000E+000                  1.6890969946802816E+001                  1.3188285501575900E+000                  7.4351530853565828E+000                  6.1735456513034315E-001                  8.4949409629544481E-001                  1.2981607847194849E+000                  6.9898788847760385E-001                  2.8045034208969033E-001                  4.3343001171087744E-005                  9.3293305751184705E-003                  3.4468833607860785E-003                  9.3805276451495428E-003                  3.4986351918787713E+000                  1.4004523984887800E+000                                        0                                        3                  7.0000000000000000E+000                  2.3104671467889151E+004                  3.6499999999996936E+002                  3.9055612262681944E+002                  9.0225119282194903E+000                  4.5112559641097448E+001                  2.0338252243376672E+002                  9.8321535717032631E+001                 -9.8684915699567954E-001                 -9.9096184528995845E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.4372991298490345E+053                 -8.2874254393258272E+027                  0.0000000000000000E+000                 -8.2874254393258272E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                                     1002                  2.9514460143466811E+004                  3.8068437114933267E+000                  5.0000000000000000E+000                  3.3997475914696686E+001                 -9.8999999999999986E+001                  1.0870995672076273E+000                  2.1496509375946105E-001                  7.8127319306724012E-008                  9.9999999987651322E-001                  9.9999999961279962E-001                  2.1496509375946105E-001                  7.8127319306724012E-008                  9.9999999987651322E-001                  9.9999999961279962E-001                  2.7269931509952308E+000                 -3.3660685667932093E+001                 -9.8999999999999986E+001                  2.7269931509952308E+000                  1.3518111479806647E+000                  2.7082897560565833E+000                 -3.3660685667932093E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.8367080625063656E+032                  1.9540607588531103E+033                  2.5138822590069700E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  3.6765984100373229E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2333878569341010E+000                  5.5129446608136686E+002                  2.7413836330336165E+000                  4.2656926351310326E-001                  4.2838991046129449E+000                  0.0000000000000000E+000                  1.6891457284300266E+001                  1.3190958901803114E+000                  7.4353751512376629E+000                  6.1736817699011171E-001                  8.4947976805197944E-001                  1.2981968254646143E+000                  6.9895923263000093E-001                  2.8047942498872364E-001                  4.3360098133838422E-005                  9.3259523035027006E-003                  3.4468833607860785E-003                  9.3805276451495428E-003                  3.4986001486571960E+000                  1.4004854163083122E+000                                        0                                        3                  8.0000000000000000E+000                  2.9514460143466815E+004                  3.6499999999996186E+002                  3.9055612262681410E+002                  9.0225119282195525E+000                  4.5112559641097754E+001                  2.0338252243376397E+002                  9.8321535717031281E+001                 -9.8687027487222057E-001                 -9.9096219640007943E-001                  5.0000000000000000E+000                  1.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.4372991298490179E+053                 -8.2874254393261615E+027                  0.0000000000000000E+000                 -8.2874254393261615E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                    1651                                     1585                  1.0738692990287645E+008                 -5.8578413619487302E+000                  4.9846323033260855E+000                  3.3996139037998084E+001                 -3.5669235424444605E+000                  0.0000000000000000E+000                  9.9994992046125442E-001                  1.8983149739048003E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9994992046125442E-001                  1.8983149739048003E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.3710717815557363E+000                  3.4049260825621523E+000                  3.5792606484501444E+000                  3.8898526161014195E+000                 -5.8871394026406811E+000                 -5.5289258154603145E+000                  3.4049260825621523E+000                  5.8257600304304948E+032                  8.8547586657304943E+032                  1.6140957099325913E+033                  1.6309035831394668E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  9.3728847360762590E-001                  7.6490185487667695E-001                  6.2038359061699400E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5660060275743382E+000                  6.5555745891197939E+003                  3.8166107631424677E+000                  2.2989464872870542E+000                  5.3780778036643817E-001                  0.0000000000000000E+000                  2.2704398062319765E+001                  6.1665194321045922E+000                  8.3849070913362329E+000                  1.7801717365094769E+000                  4.9999999999999994E-001                  1.6196022369855257E+001                  0.0000000000000000E+000                  5.1472560683406748E-008                  1.0150236103158265E-004                  9.4750431454772910E-001                  2.1680984309797977E-003                  8.9206247794696176E-003                  2.7816585343150768E+000                  1.3384891933374492E+000                                      135                                        3                  1.6510000000000000E+003                  1.0738692990287665E+008                  3.5190904079038927E+002                  3.8116102871652680E+002                  9.2733849314680352E+000                  4.5524802731062032E+001                  1.9788883417823547E+002                  9.6443281797215363E+001                  5.8314186458403548E-003                 -9.9050475337126753E-001                  4.9846323033260855E+000                  1.0153676966739174E+000                 -3.5669235424444605E+000                 -3.5669235424444605E+000                 -3.5669235424444605E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  2.4372934376096819E+053                 -6.0336718797875333E+034                 -6.0336709550788734E+034                 -9.2470866029595412E+027                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
