                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                    4100                                      955                  4.0000000000000000E+000                  2.0000000000000000E-002                  1.0761145999629015E+008                  3.0613831729909280E+000                  1.2914374671058496E+004                  3.2805091527472575E+002                  3.6180704895327187E+000                 -4.1717825469474334E+000                  2.9824590139455909E-001                  8.5902989920886767E-008                  6.8223624212156220E-001                  1.0509600444827246E-004                  1.2183211548848626E-002                  1.0672167744611395E-003                  2.0850244238750375E-003                  4.0000000000000000E+000                  1.8627397134154047E-024                  2.4988483304344107E+000                  2.3348946715079407E-004                  1.4207102220264567E+000                  7.3796162865756776E-003                  1.7537471158524175E-002                  3.0641885614356806E-002                  8.3400976955001691E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4438370691643693E+004                  3.1745532276846515E+005                  1.2193229202394408E+008                  3.2852810741960798E+002                  3.2852810741960815E+002                  2.7391730363381571E-033                  2.2519841084618292E+001                  5.0000000000000000E+001                  1.0000000000000000E+003                  3.3959594099789260E+015                               "r22.11.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20230201"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                tri_alpha 
                                       1                  4.0000000000000000E+000                  5.5847702380540809E-001                  4.1129474915292139E+000                 -9.3473662480062778E+000                  2.8902230023740274E+000                  6.9999999999999607E-001                  2.8000000000000452E-001                  1.9999999999999352E-002                  6.5899041272831862E-029                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  3.9999999999976001E+000                  5.5845400963700409E-001                  4.1158065999519602E+000                 -9.3282645281771330E+000                  2.9113524954524932E+000                  6.9999999999999796E-001                  2.8000000000000230E-001                  1.9999999999999796E-002                  6.8862250544706410E-029                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  3.9999999999963003E+000                  5.5844207860266659E-001                  4.1179447676189120E+000                 -9.3145096635975619E+000                  2.9266874036377937E+000                  6.9999999999999829E-001                  2.8000000000000214E-001                  1.9999999999999574E-002                  7.1078191192910524E-029                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  3.9999999999948002E+000                  5.5842874003973753E-001                  4.1198298854419511E+000                 -9.3026893399233774E+000                  2.9399378212281735E+000                  6.9999999999999796E-001                  2.8000000000000230E-001                  1.9999999999999796E-002                  7.3039357525555282E-029                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  3.9999999999938001E+000                  5.5842008576957047E-001                  4.1213234523486308E+000                 -9.2935289253242761E+000                  2.9502553767453774E+000                  6.9999999999999796E-001                  2.8000000000000230E-001                  1.9999999999999796E-002                  7.4596346525362150E-029                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  3.9999999999928000E+000                  5.5841161162777408E-001                  4.1235404152630881E+000                 -9.2802516208895423E+000                  2.9652873413487773E+000                  6.9999999999999796E-001                  2.8000000000000230E-001                  1.9999999999999796E-002                  7.6912185812760014E-029                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  3.9999999999907998E+000                  5.5839517223438595E-001                  4.1257172866574736E+000                 -9.2674755814833851E+000                  2.9798185367350158E+000                  6.9999999999999807E-001                  2.8000000000000214E-001                  1.9999999999999796E-002                  7.9208443367597837E-029                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  3.9999999999897997E+000                  5.5838719014870097E-001                  4.1281363471379793E+000                 -9.2536838696510060E+000                  2.9956063732964990E+000                  7.0000000000002316E-001                  2.7999999999997849E-001                  1.9999999999998352E-002                  8.1764258530703113E-029                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  3.9999999999874247E+000                  5.5836882358919349E-001                  4.1307623877080344E+000                 -9.2389891475145394E+000                  3.0125032999631092E+000                  6.9999999999999840E-001                  2.8000000000000191E-001                  1.9999999999999685E-002                  8.4578224360354112E-029                  0.0000000000000000E+000                  0.0000000000000000E+000 
