                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r22.11.1"          5.0000000000000000E+000          4.0000000000000000E+000          3.6500000000000000E+003                       "gfortran"                         "12.1.0"            "x86_64-linux-22.6.1"                       "20230201" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          1.3311938769089946E+004          3.6499999999999868E+003          2.0751390522807328E+003          1.2783799488099342E+001          1.5979749360124179E+001          8.2669360807087344E+002          7.4657757891919346E+002         -9.9675403751148184E-001         -9.9681199730210157E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354787064E+054         -4.6969086184321380E+026          0.0000000000000000E+000         -4.6969086184321380E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              10          4.6436302246991843E+004          3.6499999999999868E+003          2.0751390522807328E+003          1.2783799488099342E+001          1.5979749360124179E+001          8.2669360807087344E+002          7.4657757891919346E+002         -9.9677936265851275E-001         -9.9683641330091988E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354787064E+054         -4.6969086184321380E+026          0.0000000000000000E+000         -4.6969086184321380E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              15          1.2886031837632466E+005          3.6499999999999791E+003          2.0751390522807296E+003          1.2783799488099353E+001          1.5979749360124190E+001          8.2669360807087219E+002          7.4657757891919232E+002         -9.9679146126269469E-001         -9.9685440092499300E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354787050E+054         -4.6969086184321559E+026          0.0000000000000000E+000         -4.6969086184321559E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              20          3.3395764619126602E+005          3.6499999999999636E+003          2.0751390522807242E+003          1.2783799488099369E+001          1.5979749360124215E+001          8.2669360807086980E+002          7.4657757891919016E+002         -9.9679078647845365E-001         -9.9685790030113597E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354787023E+054         -4.6969086184322005E+026          0.0000000000000000E+000         -4.6969086184322005E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              25          8.4430542893974099E+005          3.6499999999999186E+003          2.0751390522807069E+003          1.2783799488099422E+001          1.5979749360124277E+001          8.2669360807086309E+002          7.4657757891918402E+002         -9.9678308225906631E-001         -9.9685790969661126E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354786948E+054         -4.6969086184323043E+026          0.0000000000000000E+000         -4.6969086184323043E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              30          2.1142140237084259E+006          3.6499999999998076E+003          2.0751390522806646E+003          1.2783799488099550E+001          1.5979749360124439E+001          8.2669360807084638E+002          7.4657757891916890E+002         -9.9675601735904384E-001         -9.9684609177237160E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354786761E+054         -4.6969086184325895E+026          0.0000000000000000E+000         -4.6969086184325895E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              35          5.2741529782432392E+006          3.6499999999995289E+003          2.0751390522805591E+003          1.2783799488099877E+001          1.5979749360124845E+001          8.2669360807080398E+002          7.4657757891913081E+002         -9.9668879345512684E-001         -9.9680826784475374E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354786295E+054         -4.6969086184332788E+026          0.0000000000000000E+000         -4.6969086184332788E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              40          1.3137092277591307E+007          3.6499999999988327E+003          2.0751390522802953E+003          1.2783799488100691E+001          1.5979749360125863E+001          8.2669360807069916E+002          7.4657757891903600E+002         -9.9653698373652400E-001         -9.9671824234152784E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354785131E+054         -4.6969086184350235E+026          0.0000000000000000E+000         -4.6969086184350235E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              45          2.4249501305750087E+007          3.6499999999978490E+003          2.0751390522799225E+003          1.2783799488101840E+001          1.5979749360127300E+001          8.2669360807055068E+002          7.4657757891890196E+002         -9.9631629298160884E-001         -9.9659719089136034E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354783481E+054         -4.6969086184380341E+026          0.0000000000000000E+000         -4.6969086184380341E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              50          3.3330338415858444E+007          3.6499999999970460E+003          2.0751390522796182E+003          1.2783799488102778E+001          1.5979749360128471E+001          8.2669360807042915E+002          7.4657757891879226E+002         -9.9610985651718076E-001         -9.9649631510095915E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354782137E+054         -4.6969086184405060E+026          0.0000000000000000E+000         -4.6969086184405060E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              55          4.1407400901468940E+007          3.6499999999963325E+003          2.0751390522793477E+003          1.2783799488103609E+001          1.5979749360129512E+001          8.2669360807032160E+002          7.4657757891869505E+002         -9.9589278664876746E-001         -9.9640190498517867E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354780939E+054         -4.6969086184427029E+026          0.0000000000000000E+000         -4.6969086184427029E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              60          4.8604937082598366E+007          3.6499999999956954E+003          2.0751390522791062E+003          1.2783799488104352E+001          1.5979749360130441E+001          8.2669360807022520E+002          7.4657757891860808E+002         -9.9566019524263372E-001         -9.9631251906165441E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354779870E+054         -4.6969086184446587E+026          0.0000000000000000E+000         -4.6969086184446587E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              65          5.4998826460022405E+007          3.6499999999951297E+003          2.0751390522788915E+003          1.2783799488105013E+001          1.5979749360131267E+001          8.2669360807014004E+002          7.4657757891853100E+002         -9.9540882993667490E-001         -9.9622788661331130E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354778924E+054         -4.6969086184464000E+026          0.0000000000000000E+000         -4.6969086184464000E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              70          6.0667982349521190E+007          3.6499999999946308E+003          2.0751390522787028E+003          1.2783799488105595E+001          1.5979749360131997E+001          8.2669360807006467E+002          7.4657757891846302E+002         -9.9513712725250003E-001         -9.9614786649499643E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354778087E+054         -4.6969086184479339E+026          0.0000000000000000E+000         -4.6969086184479339E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              75          6.5725854192107439E+007          3.6499999999941838E+003          2.0751390522785332E+003          1.2783799488106119E+001          1.5979749360132649E+001          8.2669360806999725E+002          7.4657757891840208E+002         -9.9483985140475562E-001         -9.9607174610973637E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354777339E+054         -4.6969086184493014E+026          0.0000000000000000E+000         -4.6969086184493014E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              80          7.0201714758728310E+007          3.6499999999937872E+003          2.0751390522783827E+003          1.2783799488106579E+001          1.5979749360133226E+001          8.2669360806993700E+002          7.4657757891834785E+002         -9.9451737106483429E-001         -9.9600020401369194E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354776675E+054         -4.6969086184505280E+026          0.0000000000000000E+000         -4.6969086184505280E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              85          7.4172628122889385E+007          3.6499999999934371E+003          2.0751390522782503E+003          1.2783799488106990E+001          1.5979749360133738E+001          8.2669360806988436E+002          7.4657757891830022E+002         -9.9417052001056860E-001         -9.9593307088751526E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354776086E+054         -4.6969086184516056E+026          0.0000000000000000E+000         -4.6969086184516056E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              90          7.7675279532960072E+007          3.6499999999931256E+003          2.0751390522781321E+003          1.2783799488107352E+001          1.5979749360134193E+001          8.2669360806983741E+002          7.4657757891825793E+002         -9.9381500615338869E-001         -9.9587058465991041E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354775566E+054         -4.6969086184525669E+026          0.0000000000000000E+000         -4.6969086184525669E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              95          8.0679583092366591E+007          3.6499999999928586E+003          2.0751390522780312E+003          1.2783799488107666E+001          1.5979749360134583E+001          8.2669360806979716E+002          7.4657757891822132E+002         -9.9352831839943045E-001         -9.9581430772987589E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354775120E+054         -4.6969086184533991E+026          0.0000000000000000E+000         -4.6969086184533991E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             100          8.2294983273559079E+007          3.6499999999927159E+003          2.0751390522779766E+003          1.2783799488107832E+001          1.5979749360134790E+001          8.2669360806977534E+002          7.4657757891820188E+002         -9.9355263671827454E-001         -9.9578298736847970E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354774878E+054         -4.6969086184539138E+026          0.0000000000000000E+000         -4.6969086184539138E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             105          8.2873410212774962E+007          3.6499999999926631E+003          2.0751390522779570E+003          1.2783799488107892E+001          1.5979749360134868E+001          8.2669360806976749E+002          7.4657757891819472E+002         -9.9378298794017461E-001         -9.9577153596612322E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354774793E+054         -4.6969086184541069E+026          0.0000000000000000E+000         -4.6969086184541069E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                             110          8.3077162721133113E+007          3.6499999999926467E+003          2.0751390522779507E+003          1.2783799488107912E+001          1.5979749360134891E+001          8.2669360806976522E+002          7.4657757891819256E+002         -9.9401139286555695E-001         -9.9576747886232664E-001          5.0000000000000000E+000          4.0000000000000000E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.8348690354774763E+054         -4.6969086184541750E+026          0.0000000000000000E+000         -4.6969086184541750E+026          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
