                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     150                                     1102                  8.0000000000000000E+000                  2.0000000000000000E-002                  2.9793653503315292E+007                  2.4795658122668721E+002                  1.9768518596579535E+004                  5.5639368256472117E+003                  6.3591051289627609E+000                 -4.2718584055735347E+000                  9.1576547989810727E-006                  1.8391517185989623E-019                  9.8059402337025448E-001                  2.3237875484974062E-004                  1.2733120663491811E-002                  2.6907330347417736E-004                  2.0850244238750405E-003                  8.0000000000000000E+000                  0.0000000000000000E+000                  4.5023324750513742E+000                  1.9668337174383243E-004                  3.3375699504663965E+000                  1.3931251898563165E-002                  4.0612072458756990E-002                  5.6059596728119519E-002                  1.6680195391000279E-002                  1.0609019411019698E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6742186925010683E+004                  4.2597360283357397E+004                  1.4378308472381728E+007                  6.1527063955544536E+003                  6.1527063955544590E+003                  2.9753467147020595E-021                  4.1896800953503868E+002                  5.0000000000000000E+001                  1.0000000000000000E+003                  9.4021619979622262E+014                               "r22.11.1"                               "gfortran"                                 "12.1.0"                    "x86_64-linux-22.6.1"                                 "CRMATH"                               "20230131"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                tri_alpha 
                                       1                  8.0000000000000000E+000                  8.0339600481550710E-001                  4.2964514861793939E+000                 -9.2518993545522115E+000                  3.2544137249238174E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  8.2100926600642462E-029                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  7.9999999999935998E+000                  8.0338693247650195E-001                  4.2980515496202498E+000                 -9.2409261054299972E+000                  3.2656744314673083E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  8.4201835838895116E-029                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  7.9999999999784821E+000                  8.0336603419045194E-001                  4.3000498438663861E+000                 -9.2276134681420583E+000                  3.2794489622250373E+000                  6.9999999999999996E-001                  2.8000000000000008E-001                  2.0000000000000018E-002                  8.6822944152970004E-029                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  7.9999999999665130E+000                  8.0334998711814254E-001                  4.3024457245006529E+000                 -9.2122138292231561E+000                  3.2955455446690687E+000                  7.0000000000000018E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  8.9956906691092820E-029                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  7.9999999999457252E+000                  8.0332308286527776E-001                  4.3049477076134464E+000                 -9.1966754580773991E+000                  3.3119495309838065E+000                  6.9999999999999996E-001                  2.8000000000000014E-001                  1.9999999999999907E-002                  9.3233773021952403E-029                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  7.9999999999318661E+000                  8.0330577443729767E-001                  4.3069284029097616E+000                 -9.1847628500736178E+000                  3.3246427097171436E+000                  6.9999999999999996E-001                  2.8000000000000014E-001                  1.9999999999999907E-002                  9.5826617856070799E-029                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  7.9999999999180087E+000                  8.0328893233724019E-001                  4.3102420567153379E+000                 -9.1655578348388964E+000                  3.3453263680430392E+000                  7.0000000000000018E-001                  2.8000000000000003E-001                  1.9999999999999796E-002                  1.0015938645175396E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  7.9999999998849365E+000                  8.0325047220237389E-001                  4.3138918698001945E+000                 -9.1451651408311214E+000                  3.3675315097233121E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.0497475530280212E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  7.9999999998650946E+000                  8.0322845003376042E-001                  4.3162844725498548E+000                 -9.1322601379921426E+000                  3.3817311051210095E+000                  7.0000000000000007E-001                  2.8000000000000008E-001                  1.9999999999999796E-002                  1.0814095739715771E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
